Chile, Exposure to risk (period 1x1), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1992           0            136726.73       143033.82       279760.54
  1992           1            135428.45       141636.44       277064.88
  1992           2            137948.40       143975.90       281924.30
  1992           3            143843.11       149959.38       293802.49
  1992           4            146966.38       153620.34       300586.71
  1992           5            137095.25       142883.12       279978.37
  1992           6            124686.83       128709.98       253396.80
  1992           7            120854.01       124710.96       245564.97
  1992           8            119695.91       123562.25       243258.16
  1992           9            122703.37       126300.30       249003.66
  1992          10            126928.91       130782.49       257711.39
  1992          11            124575.60       129085.05       253660.65
  1992          12            119851.06       123836.60       243687.66
  1992          13            117219.46       120108.09       237327.55
  1992          14            116002.92       119509.99       235512.90
  1992          15            114743.65       118591.36       233335.01
  1992          16            115909.41       119352.94       235262.35
  1992          17            121265.87       125139.64       246405.51
  1992          18            124874.80       128696.02       253570.82
  1992          19            123760.29       124930.03       248690.32
  1992          20            121791.81       120135.87       241927.68
  1992          21            120919.48       119505.93       240425.40
  1992          22            120286.95       119492.62       239779.58
  1992          23            121827.70       119847.78       241675.48
  1992          24            123525.73       120296.02       243821.75
  1992          25            123801.56       119602.53       243404.09
  1992          26            124610.61       119700.12       244310.72
  1992          27            126248.81       121467.08       247715.88
  1992          28            125527.97       121333.30       246861.26
  1992          29            124480.71       120143.73       244624.44
  1992          30            123774.66       118631.65       242406.31
  1992          31            118569.69       113588.58       232158.27
  1992          32            116443.33       111358.43       227801.76
  1992          33            114414.94       110401.91       224816.85
  1992          34            106714.99       103348.10       210063.09
  1992          35            102683.21        97834.03       200517.23
  1992          36            100167.66        94464.88       194632.53
  1992          37             96614.00        90786.01       187400.01
  1992          38             93473.01        88177.29       181650.30
  1992          39             88823.41        84449.60       173273.01
  1992          40             84002.62        79216.80       163219.42
  1992          41             80089.96        76152.72       156242.68
  1992          42             81756.52        78575.37       160331.90
  1992          43             79840.36        75658.30       155498.66
  1992          44             71757.18        67114.83       138872.00
  1992          45             68848.35        63751.46       132599.81
  1992          46             68588.62        64567.32       133155.94
  1992          47             68379.99        65166.13       133546.11
  1992          48             66295.52        62760.87       129056.39
  1992          49             63396.48        59611.94       123008.42
  1992          50             61484.47        56719.86       118204.33
  1992          51             58563.81        54797.07       113360.87
  1992          52             58050.84        55200.32       113251.16
  1992          53             55745.72        51612.71       107358.44
  1992          54             51019.99        45853.09        96873.08
  1992          55             49431.05        43853.75        93284.79
  1992          56             47697.02        43080.41        90777.42
  1992          57             45948.16        42071.95        88020.11
  1992          58             45270.01        41078.53        86348.54
  1992          59             45777.59        40249.53        86027.12
  1992          60             47250.52        39568.02        86818.54
  1992          61             45971.11        39570.42        85541.54
  1992          62             46596.59        41091.93        87688.52
  1992          63             46525.63        39910.17        86435.80
  1992          64             43089.94        37300.55        80390.49
  1992          65             41217.86        35894.25        77112.11
  1992          66             36865.79        31484.51        68350.30
  1992          67             32984.08        27909.37        60893.45
  1992          68             30646.40        25502.14        56148.54
  1992          69             28224.48        22875.28        51099.77
  1992          70             27728.44        21986.44        49714.88
  1992          71             26448.29        21166.31        47614.59
  1992          72             25977.66        20655.93        46633.59
  1992          73             25188.29        19088.60        44276.90
  1992          74             22966.27        16887.65        39853.92
  1992          75             22339.24        16087.04        38426.28
  1992          76             20899.73        14896.56        35796.30
  1992          77             19116.61        13616.32        32732.92
  1992          78             18212.65        12684.77        30897.42
  1992          79             16957.64        11331.49        28289.13
  1992          80             16056.41        10128.08        26184.49
  1992          81             14431.56         9013.38        23444.94
  1992          82             12841.87         7738.83        20580.70
  1992          83             11202.01         6543.88        17745.89
