,Age,year,qx_male
0,0,2000,2970.977255721985
1,1,2000,1507.0415665587143
2,2,2000,864.4895825771334
3,3,2000,555.2933649567673
4,4,2000,395.48767029593023
5,5,2000,309.2507164734908
6,6,2000,262.89077071876795
7,7,2000,240.57272163030723
8,8,2000,234.6623401862564
9,9,2000,241.59388905209977
10,10,2000,259.9522504205914
11,11,2000,289.4582049932024
12,12,2000,330.28005763343987
13,13,2000,382.3865431329198
14,14,2000,444.8014228006479
15,15,2000,514.7455628627476
16,16,2000,586.8153821122512
17,17,2000,652.5478431098915
18,18,2000,700.881789894936
19,19,2000,719.9764656477327
20,20,2000,700.4102426691029
21,21,2000,517.3667619644557
22,22,2000,546.1074481149507
23,23,2000,576.901552593675
24,24,2000,609.9150476762985
25,25,2000,645.3287612536654
26,26,2000,683.3398167615668
27,27,2000,724.1632225780039
28,28,2000,768.0336273484703
29,29,2000,815.2072596105635
30,30,2000,865.9640722326272
31,31,2000,920.6101145866188
32,32,2000,979.4801580764783
33,33,2000,1042.9406036778507
34,34,2000,1111.392703556055
35,35,2000,1185.2761326653688
36,36,2000,1265.0729505493687
37,37,2000,1351.3119984218686
38,38,2000,1444.5737820822917
39,39,2000,1545.4958973889356
40,40,2000,1654.779061970769
41,41,2000,1773.1938247076585
42,42,2000,1901.5880333695336
43,43,2000,2040.8951508126927
44,44,2000,2192.143521440675
45,45,2000,2356.4667024242194
46,46,2000,2535.11498864078
47,47,2000,2729.46827666808
48,48,2000,2941.0504317102027
49,49,2000,3171.5453423478084
50,50,2000,3422.8148718280627
51,51,2000,3696.918941635489
52,52,2000,3996.138013759998
53,53,2000,4322.998272913987
54,54,2000,4680.299849533798
55,55,2000,5071.148469403941
56,56,2000,5498.990966935165
57,57,2000,5967.655157395193
58,58,2000,6481.394629747272
59,59,2000,7044.939097362646
60,60,2000,7663.551030078857
61,61,2000,8343.08938941453
62,62,2000,9090.081400996902
63,63,2000,9911.803426448812
64,64,2000,10816.372143465549
65,65,2000,11812.847410296465
66,66,2000,11548.545624806327
67,67,2000,12223.399311862073
68,68,2000,12865.489046050498
69,69,2000,13465.739053176958
70,70,2000,14015.34148887698
71,71,2000,14505.969789442777
72,72,2000,14929.987642435906
73,73,2000,15280.64628351451
74,74,2000,15552.263012993757
75,75,2000,15740.37434039368
76,76,2000,15841.857991980076
77,77,2000,15855.019121449504
78,78,2000,15779.637397427932
79,79,2000,15616.973139673097
80,80,2000,15369.732265176059
81,81,2000,15041.991406588013
82,82,2000,14639.086098673728
83,83,2000,14167.466318064391
84,84,2000,13634.524840402544
85,85,2000,13048.404792636438
86,0,2001,2820.662806278623
87,1,2001,1440.657305234322
88,2,2001,830.3347557304344
89,3,2001,534.8534760533255
90,4,2001,381.3392966213804
91,5,2001,298.05024975475965
92,6,2001,252.91504641503997
93,7,2001,230.76670557603444
94,8,2001,224.2285955565551
95,9,2001,229.79166124274838
96,10,2001,245.985219271381
97,11,2001,272.4089023361354
98,12,2001,309.08446338312655
99,13,2001,355.86289415292924
100,14,2001,411.75980350919264
101,15,2001,474.2059048172158
102,16,2001,538.3414163233698
103,17,2001,596.6539381641581
104,18,2001,639.3919607542258
105,19,2001,656.1419884845753
106,20,2001,638.5876955240523
107,21,2001,462.77086285131907
108,22,2001,489.87959749541216
109,23,2001,518.979033712848
110,24,2001,550.2339574893591
111,25,2001,583.8241835711959
112,26,2001,619.9460360989332
113,27,2001,658.8139850972583
114,28,2001,700.662456197975
115,29,2001,745.7478330128242
116,30,2001,794.3506738627627
117,31,2001,846.7781671431286
118,32,2001,903.3668524961304
119,33,2001,964.4856382146144
120,34,2001,1030.539148960851
121,35,2001,1101.9714420044388
122,36,2001,1179.2701348245594
123,37,2001,1262.9709921524577
124,38,2001,1353.6630264280727
125,39,2001,1451.9941722988353
126,40,2001,1558.6776032998007
127,41,2001,1674.4987673372948
128,42,2001,1800.3232271839004
129,43,2001,1937.1054030303335
130,44,2001,2085.8983263991204
131,45,2001,2247.8645286005844
132,46,2001,2424.2882026244015
133,47,2001,2616.5887951632308
134,48,2001,2826.336205647416
135,49,2001,3055.2677920620663
136,50,2001,3305.307409297862
137,51,2001,3578.586735287272
138,52,2001,3877.4691736939094
139,53,2001,4204.576660022133
140,54,2001,4562.819741346904
141,55,2001,4955.431349177247
142,56,2001,5386.004741116033
143,57,2001,5858.536150947809
144,58,2001,6377.472759704735
145,59,2001,6947.766683425882
146,60,2001,7574.935768231557
147,61,2001,8265.132091698917
148,62,2001,9025.219193326746
149,63,2001,9862.859198394332
150,64,2001,10786.61116137831
151,65,2001,11806.042140320862
152,66,2001,11234.447890117115
153,67,2001,11953.72022467432
154,68,2001,12645.855348712372
155,69,2001,13301.08602991844
156,70,2001,13909.76410917153
157,71,2001,14462.594093319312
158,72,2001,14950.867748795587
159,73,2001,15366.691486727019
160,74,2001,15703.19827566548
161,75,2001,15954.736147265867
162,76,2001,16117.026069899966
163,77,2001,16187.283029933606
164,78,2001,16164.295533510613
165,79,2001,16048.460357666254
166,80,2001,15841.771157896073
167,81,2001,15547.761389248062
168,82,2001,15171.403824419527
169,83,2001,14718.970661522178
170,84,2001,14197.859719780115
171,85,2001,13616.39344975055
172,0,2002,2672.7339554875784
173,1,2002,1373.1994123819823
174,2,2002,794.8218086597286
175,3,2002,513.3799146887347
176,4,2002,366.5350822022094
177,5,2002,286.53286656417674
178,6,2002,242.93506538270253
179,7,2002,221.2776119569597
180,8,2002,214.48202408223867
181,9,2002,219.14174756421338
182,10,2002,233.78399920839252
183,11,2002,257.9494062061263
184,12,2002,291.58085928964266
185,13,2002,334.4743857354202
186,14,2002,385.67433259994493
187,15,2002,442.799652293904
188,16,2002,501.41475833771955
189,17,2002,554.7086075916181
190,18,2002,593.8616665496415
191,19,2002,609.4427567728869
192,20,2002,593.857752800916
193,21,2002,430.8177515529838
194,22,2002,456.11525143841413
195,23,2002,483.3047560709297
196,24,2002,512.5461949556019
197,25,2002,544.0144415257954
198,26,2002,577.900824221541
199,27,2002,614.4148010820662
200,28,2002,653.7858166162681
201,29,2002,696.2653619836767
202,30,2002,742.1292620747904
203,31,2002,791.6802159615631
204,32,2002,845.2506204395723
205,33,2002,903.2057100522869
206,34,2002,965.947051130911
207,35,2002,1033.9164320645193
208,36,2002,1107.600197307401
209,37,2002,1187.5340786169197
210,38,2002,1274.3085837905833
211,39,2002,1368.5750108438285
212,40,2002,1471.052164264038
213,41,2002,1582.5338598330877
214,42,2002,1703.897315692209
215,43,2002,1836.1125400145302
216,44,2002,1980.252840064442
217,45,2002,2137.506593802317
218,46,2002,2309.1904438168244
219,47,2002,2496.764094554942
220,48,2002,2701.846917939129
221,49,2002,2926.236599933376
222,50,2002,3171.930091929721
223,51,2002,3441.1471665313943
224,52,2002,3736.3569180486797
225,53,2002,4060.307594537234
226,54,2002,4416.060201344668
227,55,2002,4807.0263768701825
228,56,2002,5237.011110712066
229,57,2002,5710.260953882041
230,58,2002,6231.518461808448
231,59,2002,6806.083715168177
232,60,2002,7439.883883189359
233,61,2002,8139.551931274783
234,62,2002,8912.51573229698
235,63,2002,9767.099021821914
236,64,2002,10712.635845433495
237,65,2002,11759.600385435126
238,66,2002,10944.360199909212
239,67,2002,11712.671345290408
240,68,2002,12459.525928035584
241,69,2002,13174.28519816797
242,70,2002,13846.263280470688
243,71,2002,14464.98845719315
244,72,2002,15020.471974687882
245,73,2002,15503.474846131705
246,74,2002,15905.762754275798
247,75,2002,16220.339257589374
248,76,2002,16441.648084086435
249,77,2002,16565.73634467771
250,78,2002,16590.371968411266
251,79,2002,16515.11048509776
252,80,2002,16341.308363564414
253,81,2002,16072.082346278785
254,82,2002,15712.216483668924
255,83,2002,15268.020742506136
256,84,2002,14747.147026571129
257,85,2002,14158.37010237996
258,0,2003,2512.9226697288345
259,1,2003,1301.2728692198912
260,2,2003,757.8478484354157
261,3,2003,491.7749982764765
262,4,2003,352.2638087575048
263,5,2003,275.95174549120384
264,6,2003,234.21148257198223
265,7,2003,213.37302798111833
266,8,2003,206.71573576664755
267,9,2003,210.98744625691614
268,10,2003,224.76833836864276
269,11,2003,247.6027572490116
270,12,2003,279.42420305725767
271,13,2003,320.0421275540698
272,14,2003,368.5795545603465
273,15,2003,422.846439175382
274,16,2003,478.7489562023617
275,17,2003,529.9722239955146
276,18,2003,568.283261310883
277,19,2003,584.7759285113007
278,20,2003,572.1018583147295
279,21,2003,428.6597377111057
280,22,2003,451.86639138495235
281,23,2003,476.8218474292347
282,24,2003,503.6757125082815
283,25,2003,532.591990703755
284,26,2003,563.7505919668596
285,27,2003,597.3490109597013
286,28,2003,633.6041967897944
287,29,2003,672.7546367530449
288,30,2003,715.0626801616722
289,31,2003,760.8171316935128
290,32,2003,810.3361475142133
291,33,2003,863.9704717585164
292,34,2003,922.1070558851416
293,35,2003,985.1731090267581
294,36,2003,1053.6406338399886
295,37,2003,1128.0315096325494
296,38,2003,1208.9231928350653
297,39,2003,1296.955114342521
298,40,2003,1392.8358640465476
299,41,2003,1497.3512652125542
300,42,2003,1611.3734554535697
301,43,2003,1735.8711071791442
302,44,2003,1871.9209388574125
303,45,2003,2020.7206895736972
304,46,2003,2183.6037536073745
305,47,2003,2362.0556995516467
306,48,2003,2557.7329304154214
307,49,2003,2772.4837778057727
308,50,2003,3008.372365429136
309,51,2003,3267.7056256223223
310,52,2003,3553.063908422613
311,53,2003,3867.3356869618196
312,54,2003,4213.756937062902
313,55,2003,4595.955854391424
