,Age,year,qx_male
0,0,2000,147224.1043598285
1,1,2000,218110.76156755208
2,2,2000,299335.25755014864
3,3,2000,383197.25352091313
4,4,2000,460756.8113952694
5,5,2000,523970.85536809755
6,6,2000,567452.634323477
7,7,2000,589305.3020705039
8,8,2000,590936.0095522861
9,9,2000,576144.0278110104
10,10,2000,549937.4612084783
11,11,2000,517473.7249460035
12,12,2000,483344.95351099106
13,13,2000,451254.0252236182
14,14,2000,424014.9135943822
15,15,2000,403774.089089119
16,16,2000,392368.522392609
17,17,2000,391786.4384244365
18,18,2000,404767.1826181421
19,19,2000,435675.33307502605
20,20,2000,491952.94072952383
21,21,2000,454663.991788514
22,22,2000,456659.72532866255
23,23,2000,458461.77949072205
24,24,2000,460067.7961083133
25,25,2000,461475.6682802647
26,26,2000,462683.54497645027
27,27,2000,463689.8350932514
28,28,2000,464493.2109462049
29,29,2000,465092.61118910613
30,30,2000,465487.2431505821
31,31,2000,465676.5845809358
32,32,2000,465660.3848038716
33,33,2000,465438.6652695467
34,34,2000,465011.71950724215
35,35,2000,464380.11247779394
36,36,2000,463544.6793277966
37,37,2000,462506.5235494089
38,38,2000,461267.0145514451
39,39,2000,459827.78464924294
40,40,2000,458190.72548255464
41,41,2000,456357.9838724735
42,42,2000,454331.95713010273
43,43,2000,452115.2878313047
44,44,2000,449710.8580734761
45,45,2000,447121.7832318303
46,46,2000,444351.4052340976
47,47,2000,441403.285373982
48,48,2000,438281.1966849919
49,49,2000,434989.1158974899
50,50,2000,431531.2150029675
51,51,2000,427911.8524505542
52,52,2000,424135.5640017628
53,53,2000,420207.0532702901
54,54,2000,416131.18197446363
55,55,2000,411912.95993055083
56,56,2000,407557.5348157155
57,57,2000,403070.1817298153
58,58,2000,398456.2925855784
59,59,2000,393721.36535691394
60,60,2000,388870.99321522674
61,61,2000,383910.8535836143
62,62,2000,378846.6971387286
63,63,2000,373684.3367898863
64,64,2000,368429.63666470785
65,65,2000,363088.50113016815
66,66,2000,349781.71154652955
67,67,2000,340576.1499599937
68,68,2000,329625.26592593023
69,69,2000,317114.3411202153
70,70,2000,303249.71470681916
71,71,2000,288253.1402837239
72,72,2000,272355.9213958848
73,73,2000,255793.0408175987
74,74,2000,238797.48906849753
75,75,2000,221594.97881430108
76,76,2000,204399.2053698044
77,77,2000,187407.78128276058
78,78,2000,170798.93697353714
79,79,2000,154729.04175863706
80,80,2000,139330.96236026828
81,81,2000,124713.24107962161
82,82,2000,110960.04478214825
83,83,2000,98131.8099407149
84,84,2000,86266.48903308295
85,85,2000,75381.29000156949
86,0,2001,147468.2953233049
87,1,2001,218533.0558592545
88,2,2001,299982.1178132714
89,3,2001,384093.3587575249
90,4,2001,461896.72813257395
91,5,2001,525318.9703709481
92,6,2001,568950.9764208902
93,7,2001,590885.9013893972
94,8,2001,592533.4606530137
95,9,2001,577704.9091512109
96,10,2001,551425.2072464094
97,11,2001,518869.3352677083
98,12,2001,484644.9386700374
99,13,2001,452467.19633991655
100,14,2001,425159.3256796718
101,15,2001,404875.00691514177
102,16,2001,393457.95362488023
103,17,2001,392904.7186460838
104,18,2001,405967.4084473834
105,19,2001,437032.3210888686
106,20,2001,493580.3489934878
107,21,2001,456362.10862345016
108,22,2001,458386.15635800955
109,23,2001,460218.5847963778
110,24,2001,461857.0280246284
111,25,2001,463299.36520644766
112,26,2001,464543.7251577335
113,27,2001,465588.49039181723
114,28,2001,466432.3006230776
115,29,2001,467074.05571831716
116,30,2001,467512.91808694473
117,31,2001,467748.3145026843
118,32,2001,467779.9373512729
119,33,2001,467607.74530034617
120,34,2001,467231.9633894611
121,35,2001,466653.0825399904
122,36,2001,465871.8584863781
123,37,2001,464889.3101320168
124,38,2001,463706.71733474685
125,39,2001,462325.61812872137
126,40,2001,460747.8053910774
127,41,2001,458975.3229635202
128,42,2001,457010.46124057024
129,43,2001,454855.7522378038
130,44,2001,452513.9641549433
131,45,2001,449988.09545014636
132,46,2001,447281.3684432427
133,47,2001,444397.22246702254
134,48,2001,441339.30658693996
135,49,2001,438111.47191080166
136,50,2001,434717.7635111205
137,51,2001,431162.4119838213
138,52,2001,427449.82466796425
139,53,2001,423584.57655193494
140,54,2001,419571.40089236706
141,55,2001,415415.1795726566
142,56,2001,411120.9332285177
143,57,2001,406693.8111684702
144,58,2001,402139.0811174937
145,59,2001,397462.1188123494
146,60,2001,392668.397477207
147,61,2001,387763.4772082715
148,62,2001,382752.9942960418
149,63,2001,377642.6505137002
150,64,2001,372438.20239986165
151,65,2001,367145.450563598
152,66,2001,348726.50227636984
153,67,2001,341058.0954135841
154,68,2001,331427.8036514731
155,69,2001,320012.3085644243
156,70,2001,307016.41383156093
157,71,2001,292666.9447981809
158,72,2001,277206.1881948567
159,73,2001,260885.13600183546
160,74,2001,243956.79448148687
161,75,2001,226669.80362588709
162,76,2001,209262.58519304154
163,77,2001,191958.20126419238
164,78,2001,174960.06241534257
165,79,2001,158448.57796644853
166,80,2001,142578.79319324915
167,81,2001,127479.01254160644
168,82,2001,113250.36612885335
169,83,2001,99967.2410521406
170,84,2001,87678.47061130607
171,85,2001,76409.15427660191
172,0,2002,147783.43998466287
173,1,2002,219064.26401184744
174,2,2002,300783.0786981329
175,3,2002,385191.841162779
176,4,2002,463285.05715404643
177,5,2002,526954.0624682424
178,6,2002,570763.4973030102
179,7,2002,592794.6979693846
180,8,2002,594460.2712840723
181,9,2002,579585.4606609292
182,10,2002,553215.0282060892
183,11,2002,520544.68199014425
184,12,2002,486200.42495006166
185,13,2002,453911.9823299233
186,14,2002,426513.39149770216
187,15,2002,406166.52216941543
188,16,2002,394722.3551481445
189,17,2002,394185.9917224003
190,18,2002,407322.3414255828
191,19,2002,438539.35758600244
192,20,2002,495356.5817824153
193,21,2002,458223.73217735306
194,22,2002,460254.0028115757
195,23,2002,462095.8450908326
196,24,2002,463746.9286853756
197,25,2002,465205.1592867735
198,26,2002,466468.6830346324
199,27,2002,467535.89044399274
200,28,2002,468405.419821757
201,29,2002,469076.16016198945
202,30,2002,469547.25351147813
203,31,2002,469818.0967985084
204,32,2002,469888.3431193845
205,33,2002,469757.9024788635
206,34,2002,469426.94198229176
207,35,2002,468895.8854788587
208,36,2002,468165.4126570495
209,37,2002,467236.45759497886
210,38,2002,466110.20676996204
211,39,2002,464788.096533225
212,40,2002,463271.8100573114
213,41,2002,461563.27376524603
214,42,2002,459664.6532520594
215,43,2002,457578.34871078015
216,44,2002,455306.9898763852
217,45,2002,452853.4305026492
218,46,2002,450220.74238810275
219,47,2002,447412.20896862133
220,48,2002,444431.318495332
221,49,2002,441281.75681769656
222,50,2002,437967.39979263354
223,51,2002,434492.3053415797
224,52,2002,430860.7051782419
225,53,2002,427076.99623062776
226,54,2002,423145.73178167135
227,55,2002,419071.6123534002
228,56,2002,414859.4763601502
229,57,2002,410514.2905567782
230,58,2002,406041.1403082077
231,59,2002,401445.21970689285
232,60,2002,396731.8215649836
233,61,2002,391906.32730805443
234,62,2002,386974.1967972462
235,63,2002,381940.9581065865
236,64,2002,376812.1972820621
237,65,2002,371593.5481087346
238,66,2002,349007.7866830388
239,67,2002,342659.42889421625
240,68,2002,334168.00378171727
241,69,2002,323699.21739585674
242,70,2002,311453.3754255304
243,71,2002,297659.0161823943
244,72,2002,282565.834547189
245,73,2002,266437.202135469
246,74,2002,249542.59494325737
247,75,2002,232150.22922653687
248,76,2002,214520.1807475972
249,77,2002,196898.2240919375
250,78,2002,179510.58052489557
251,79,2002,162559.70826318787
252,80,2002,146221.21169850478
253,81,2002,130641.8895462504
254,82,2002,115938.889283621
255,83,2002,102199.88923767082
256,84,2002,89484.1922683668
257,85,2002,77824.5874055567
258,0,2003,148125.43807982595
259,1,2003,219617.7344196177
260,2,2003,301595.2329437642
261,3,2003,386285.2107696567
262,4,2003,464649.49409771885
263,5,2003,528547.3156011605
264,6,2003,572519.8198585504
265,7,2003,594638.012775508
266,8,2003,596317.4732249798
267,9,2003,581396.4324345038
268,10,2003,554937.9005115086
269,11,2003,522156.6870789253
270,12,2003,487695.75027593697
271,13,2003,455298.27409973904
272,14,2003,427808.27323327726
273,15,2003,407395.0354888052
274,16,2003,395915.86095006205
275,17,2003,395382.9339552862
276,18,2003,408571.4598819453
277,19,2003,439906.5785963524
278,20,2003,496938.27372472745
279,21,2003,460109.15502898075
280,22,2003,462087.4111472274
281,23,2003,463883.74622378155
282,24,2003,465495.9759827464
283,25,2003,466922.1351523236
284,26,2003,468160.4814568172
285,27,2003,469209.4991635105
286,28,2003,470067.9021742871
287,29,2003,470734.6366531909
288,30,2003,471208.8831823967
289,31,2003,471490.05844042276
290,32,2003,471577.8163977727
291,33,2003,471472.0490265733
292,34,2003,471172.8865221828
293,35,2003,470680.69703611237
294,36,2003,469996.08592105017
295,37,2003,469119.89449014
296,38,2003,468053.198294081
297,39,2003,466797.3049209817
298,40,2003,465353.75132528075
299,41,2003,463724.30069335253
300,42,2003,461910.9388547651
301,43,2003,459915.8702494023
302,44,2003,457741.5134619189
303,45,2003,455390.4963361904
304,46,2003,452865.6506835666
305,47,2003,450170.0065998512
306,48,2003,447306.78640696494
307,49,2003,444279.3982362366
308,50,2003,441091.4292712131
309,51,2003,437746.63866873196
310,52,2003,434248.95017778873
311,53,2003,430602.44447647774
312,54,2003,426811.351247937
313,55,2003,422880.0410168014
314,56,2003,418813.0167681883
315,57,2003,414614.90537166817
316,58,2003,410290.44883302803
317,59,2003,405844.4953969092
318,60,2003,401281.9905236115
319,61,2003,396607.9677634669
320,62,2003,391827.5395522254
321,63,2003,386945.88795088034
322,64,2003,381968.2553532395
323,65,2003,376899.93518435623
324,66,2003,351714.6865982319
325,67,2003,346427.9012374234
326,68,2003,338855.3522057674
327,69,2003,329150.83747075923
328,70,2003,317508.02528874966
329,71,2003,304154.03143577743
330,72,2003,289342.0641111439
331,73,2003,273343.46864204895
332,74,2003,256439.5197175625
333,75,2003,238913.305070386
334,76,2003,221042.02241215706
335,77,2003,203089.97329292947
336,78,2003,185302.4866234218
337,79,2003,167900.94474891567
338,80,2003,151079.02040368086
339,81,2003,135000.16781033867
340,82,2003,119796.34951910988
341,83,2003,105567.92564421095
342,84,2003,92384.58653328722
343,85,2003,80287.17531993335
344,0,2004,148419.66173340476
345,1,2004,220101.0982380377
346,2,2004,302311.51613252104
347,3,2004,387255.5636413547
348,4,2004,465864.82078962366
349,5,2004,529968.7064147836
350,6,2004,574086.557901191
351,7,2004,596279.8800821727
352,8,2004,597967.1709404205
353,9,2004,582998.878162269
354,10,2004,556455.0288572338
355,11,2004,523568.10512795555
356,12,2004,488996.59381278313
357,13,2004,456495.8251698355
358,14,2004,428918.61376060604
359,15,2004,408440.564691546
360,16,2004,396924.1432156688
361,17,2004,396387.1991370041
362,18,2004,409613.22126542026
363,19,2004,441041.37604175264
364,20,2004,498246.789805516
365,21,2004,462604.5801268413
366,22,2004,464369.39387557947
367,23,2004,465968.7713535564
368,24,2004,467400.95927314257
369,25,2004,468664.38418363646
370,26,2004,469757.65535190003
371,27,2004,470679.56731345766
372,28,2004,471429.10208748374
373,29,2004,472005.43104999803
374,30,2004,472407.91646044445
375,31,2004,472636.11263769923
376,32,2004,472689.7667824945
377,33,2004,472568.8194441179
378,34,2004,472273.40463018935
379,35,2004,471803.84955922444
380,36,2004,471160.6740566377
381,37,2004,470344.58959572564
382,38,2004,469356.4979861278
383,39,2004,468197.4897131316
384,40,2004,466868.8419321211
385,41,2004,465372.0161233095
386,42,2004,463708.6554128075
387,43,2004,461880.58156688523
388,44,2004,459889.7916671279
389,45,2004,457738.4544749885
390,46,2004,455428.90649498143
391,47,2004,452963.64774653985
392,48,2004,450345.33725523297
393,49,2004,447576.7882747234
394,50,2004,444660.96325149166
395,51,2004,441600.96854491846
396,52,2004,438400.048915911
397,53,2004,435061.5817977393
398,54,2004,431589.0713632332
399,55,2004,427986.1424029177
400,56,2004,424256.5340290363
401,57,2004,420404.09322073765
402,58,2004,416432.7682260036
403,59,2004,412346.6018361222
404,60,2004,408149.7245486818
405,61,2004,403846.34763523395
406,62,2004,399440.75612983236
407,63,2004,394937.301754714
408,64,2004,390340.3957993711
409,65,2004,385654.5019692218
410,66,2004,356345.87560483196
411,67,2004,353140.7829625981
412,68,2004,347402.7895159046
413,69,2004,339256.3723695459
414,70,2004,328875.872492839
415,71,2004,316479.29275716934
416,72,2004,302320.6915237101
417,73,2004,286681.5421505337
418,74,2004,269861.46798728127
419,75,2004,252168.776779852
420,76,2004,233911.20801703405
421,77,2004,215387.27346567233
422,78,2004,196878.51833318814
