,Age,year,qx_male
0,0,2000,96092.50000000081
1,1,2000,379271.3999999997
2,2,2000,514580.76599090255
3,3,2000,545973.2780879972
4,4,2000,517088.476141093
5,5,2000,471565.8999999991
6,6,2000,444630.8591055247
7,7,2000,437851.74126247887
8,8,2000,444382.7038666702
9,9,2000,457377.9043139074
10,10,2000,469991.4999999992
11,11,2000,476821.5201938221
12,12,2000,478241.48165652086
13,13,2000,476068.77302230836
14,14,2000,472120.7829253971
15,15,2000,468214.8999999997
16,16,2000,465786.0457191835
17,17,2000,464739.2729114347
18,18,2000,464597.1672440939
19,19,2000,464882.31438450195
20,20,2000,465117.2999999998
21,21,2000,464926.3977294422
22,22,2000,464340.63309773937
23,23,2000,463492.7196013153
24,24,2000,462515.37073659396
25,25,2000,461541.29999999993
26,26,2000,460674.15856304683
27,27,2000,459901.34829760774
28,28,2000,459181.20875064516
29,29,2000,458472.07946912176
30,30,2000,457732.3000000004
31,31,2000,456927.78481837077
32,32,2000,456054.74811183085
33,33,2000,455116.9789961056
34,34,2000,454118.2665869199
35,35,2000,453062.3999999991
36,36,2000,451949.94376347004
37,37,2000,450768.5640550683
38,38,2000,449502.70246493095
39,39,2000,448136.8005831956
40,40,2000,446655.2999999997
41,41,2000,445042.72892774525
42,42,2000,443283.9620678929
43,43,2000,441363.9607441677
44,44,2000,439267.68628029496
45,45,2000,436980.1
46,46,2000,434485.1637255473
47,47,2000,431762.8412733594
48,48,2000,428792.09695839765
49,49,2000,425551.89509562386
50,50,2000,422021.1999999997
51,51,2000,418178.6585700647
52,52,2000,414001.6480386692
53,53,2000,409467.2282222411
54,54,2000,404552.4589372086
55,55,2000,399234.3999999999
56,56,2000,393490.7123941926
57,57,2000,387301.4617719631
58,58,2000,380647.31495263724
59,59,2000,373508.9387555409
60,60,2000,365867.0000000001
61,61,2000,357701.0822531645
62,62,2000,348986.4360734786
63,63,2000,339697.2287672104
64,64,2000,329807.627640628
65,65,2000,319291.79999999993
66,66,2000,308131.03859314957
67,67,2000,296335.13793412293
68,68,2000,283921.0179785214
69,69,2000,270905.5986819465
70,70,2000,257305.79999999946
71,71,2000,243142.746574236
72,72,2000,228454.38179002816
73,73,2000,213282.8537187021
74,74,2000,197670.31043158387
75,75,2000,181658.89999999988
76,76,2000,165329.61990990414
77,77,2000,148918.86530576253
78,78,2000,132701.88074666876
79,79,2000,116953.91079171664
80,80,2000,101950.19999999995
81,81,2000,87976.24410614662
82,82,2000,75358.54354692124
83,83,2000,64433.849934622485
84,84,2000,55538.9148815491
85,85,2000,49010.48999999984
86,0,2001,96239.08000000083
87,1,2001,380203.0999999996
88,2,2001,515904.9499913294
89,3,2001,547411.9080674804
90,4,2001,518477.3121098906
91,5,2001,472854.499999999
92,6,2001,445861.0542351126
93,7,2001,439071.5357760162
94,8,2001,445624.7501993628
95,9,2001,458659.5030818059
96,10,2001,471314.5999999991
97,11,2001,478176.1454081152
98,12,2001,479619.43927040405
99,13,2001,477467.0804286348
100,14,2001,473541.66772457684
101,15,2001,469665.7999999995
102,16,2001,467278.2729324221
103,17,2001,466282.6695423641
104,18,2001,466198.7696860947
105,19,2001,466546.3532198834
106,20,2001,466845.19999999966
107,21,2001,466717.33086219354
108,22,2001,466193.7305601376
109,23,2001,465407.62482698465
110,24,2001,464492.23939588765
111,25,2001,463580.7999999998
112,26,2001,462777.3972188018
113,27,2001,462069.5810170844
114,28,2001,461415.76620596607
115,29,2001,460774.36759656516
116,30,2001,460103.8000000005
117,31,2001,459370.0850625994
118,32,2001,458569.6717715259
119,33,2001,457706.6159491526
120,34,2001,456784.97341785266
121,35,2001,455808.7999999991
122,36,2001,454778.90413080103
123,37,2001,453683.1046968123
124,38,2001,452505.97319742246
125,39,2001,451232.08113202156
126,40,2001,449845.9999999999
127,41,2001,448332.27121419314
128,42,2001,446675.31584122276
129,43,2001,444859.5248611555
130,44,2001,442869.2892540589
131,45,2001,440689.00000000006
132,46,2001,438302.0558124252
133,47,2001,435687.8863382967
134,48,2001,432824.9289579555
135,49,2001,429691.62105174275
136,50,2001,426266.3999999998
137,51,2001,422527.53593610565
138,52,2001,418452.6300055905
139,53,2001,414019.1161070224
140,54,2001,409204.4281389694
141,55,2001,403985.9999999998
142,56,2001,398341.6804431513
143,57,2001,392250.9776393407
144,58,2001,385693.8146139542
145,59,2001,378650.1143923785
146,60,2001,371099.8
147,61,2001,363021.6966912883
148,62,2001,354390.2386370465
149,63,2001,345178.76223716035
150,64,2001,335360.60389151605
151,65,2001,324909.09999999986
152,66,2001,313805.6215916948
153,67,2001,302063.67821247317
154,68,2001,289704.8140374039
155,69,2001,276750.57324155624
156,70,2001,263222.4999999995
157,71,2001,249141.59854193075
158,72,2001,234526.71331305933
159,73,2001,219396.14881322221
160,74,2001,203768.20954225666
161,75,2001,187661.19999999987
162,76,2001,171137.9898405798
163,77,2001,154439.70933528777
164,78,2001,137852.05390970572
165,79,2001,121660.71898941573
166,80,2001,106151.39999999995
167,81,2001,91621.93297574912
168,82,2001,78418.71638578913
169,83,2001,66900.2893079545
170,84,2001,57425.190820079864
171,85,2001,50351.95999999983
172,0,2002,96445.13000000078
173,1,2002,381347.99999999965
174,2,2002,517511.1940161802
175,3,2002,549142.8649116221
176,4,2002,520136.22835125256
177,5,2002,474384.49999999895
178,6,2002,447318.36568556516
179,7,2002,440518.39188676164
180,8,2002,447102.6152451749
181,9,2002,460189.0724023917
182,10,2002,472895.7999999992
