,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,147224.1043598285,147468.2953233049,147783.43998466287,148125.43807982595,148419.66173340476,148642.93796102854,148796.75865221792,148883.11675965376,148942.63871464864,149003.0585865719,149099.91752042656,149241.7928765651,149438.7783853889,149643.6300309897,149806.08261244078,149938.88628008304,150024.28176288103
1,218110.76156755208,218533.0558592545,219064.26401184744,219617.7344196177,220101.0982380377,220477.49461362313,220741.8047313968,220888.8482296391,221000.51944068816,221111.21111105738,221293.39994207627,221531.46420962465,221850.69955533117,222177.46350773794,222449.10404537464,222664.36848627185,222802.15137519897
2,299335.25755014864,299982.1178132714,300783.0786981329,301595.2329437642,302311.51613252104,302880.92554328084,303284.98644501,303508.50697698584,303688.5644434508,303864.2506597624,304157.91393508867,304515.9179094796,304984.6972173343,305459.9755721708,305867.6696397573,306184.1796702852,306386.4145243554
3,383197.25352091313,384093.3587575249,385191.841162779,386285.2107696567,387255.5636413547,388040.6466093023,388600.60016999097,388909.2601448867,389167.68534554593,389416.9399205432,389837.74028243165,390328.0639155536,390959.37824672624,391596.15062339074,392153.80606659886,392580.89212988253,392853.8732812704
4,460756.8113952694,461896.72813257395,463285.05715404643,464649.49409771885,465864.82078962366,466863.70901099115,467577.15212916065,467969.5952058987,468306.93336131587,468629.4491682836,469177.5686977327,469797.09581864456,470585.0751944247,471378.274913947,472082.05065004586,472616.37799822056,472958.5657487991
5,523970.85536809755,525318.9703709481,526954.0624682424,528547.3156011605,529968.7064147836,531154.1463995031,531999.6941076549,532464.3388950623,532871.1190647895,533257.4601716715,533916.9373842744,534647.1127669037,535567.4546732672,536494.1773972644,537322.4449005575,537948.1127263985,538350.0809039465
6,567452.634323477,568950.9764208902,570763.4973030102,572519.8198585504,574086.557901191,575411.5342926307,576353.3178769283,576870.7944715434,577329.6358564731,577763.4304967345,578505.8475726623,579316.6990158604,580331.7199219735,581355.8124644976,582273.6851408388,582965.4689588118,583411.8034911465
7,589305.3020705039,590885.9013893972,592794.6979693846,594638.012775508,596279.8800821727,597687.3174906168,598682.4865516244,599229.6757395439,599719.112175467,600180.7012329187,600971.538187689,601827.9701520076,602894.2331491676,603973.4321690146,604939.9671862845,605668.387254616,606140.7639735946
8,590936.0095522861,592533.4606530137,594460.2712840723,596317.4732249798,597967.1709404205,599400.3210672534,600406.9052500096,600961.1644848646,601459.7802712787,601930.0025842503,602735.3327981492,603603.5187456848,604679.47539462,605772.7255766672,606748.30838856,607484.8143157772,607965.2191843296
9,576144.0278110104,577704.9091512109,579585.4606609292,581396.4324345038,582998.878162269,584409.5693554343,585392.5603019607,585934.9940183673,586424.6973302632,586887.7744466566,587679.4322560715,588531.6292870052,589583.3223590552,590656.4011456011,591608.3532699024,592329.2798859655,592802.5314085077
