,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,146454.91640686497,146718.08911773263,147069.98251781097,147428.9503370677,147744.80492907498,147994.646001424,148141.47785716972,148223.83993441294,148276.33130872095,148336.8560994273,148431.30990340197,148605.1521234565,148819.52466357377,149061.14352623554,149252.89615690827,149407.76408643016,149481.64425690175
1,216872.56883085254,217327.88667152612,217907.98365354937,218495.71753229428,219012.45289847412,219425.19704432628,219688.45357550716,219831.9575776455,219936.12552331673,220047.86505727618,220229.55033247758,220517.3804403437,220864.92563120872,221251.03509475308,221573.38115981352,221826.08987803845,221953.96225176472
2,297522.6721240703,298219.9033696162,299081.5736940792,299951.0994106305,300715.28192353324,301331.3208024808,301744.6360325393,301966.14956265636,302139.18679796235,302316.7356642072,302612.30925536,303040.5051711759,303550.4499300079,304112.7022239352,304598.1312763571,304971.40381690493,305168.22097320313
3,380756.72867136414,381721.9603432589,382891.5645303073,384069.1942586919,385103.9356756391,385945.67144248146,386528.8109660545,386838.13711340236,387091.0305888656,387342.4303011958,387767.28651531576,388348.3537707655,389033.99781542324,389787.8136772432,390453.2028860621,390958.46422107046,391233.05015579343
4,457703.7720550174,458930.5794408315,460398.3716413709,461874.61364645575,463171.52597831865,464236.2298787559,464988.685959795,465385.46418365015,465719.6318275342,466043.7867014162,466597.0409865637,467325.2196096387,468179.1182870691,469118.39603012556,469959.1656261649,470592.60278561775,470944.8473248474
5,520388.9725927978,521838.5478326138,523559.2187322818,525289.1459129442,526808.598910031,528067.7915045479,528967.9039678023,529441.2512455403,529847.8618384631,530234.5824377658,530898.7250229302,531750.570297626,532745.2561073063,533842.6174833382,534832.6496120972,535575.2712401472,535995.7011440321
6,563476.3231473985,565086.0749445114,566988.313221596,568900.8629751483,570580.116535098,571985.416934087,572995.0822383086,573525.9721610345,573988.0472815771,574420.5476962131,575165.6328801388,576105.1236620912,577198.8695942321,578411.1433714287,579508.2536669796,580329.7694520627,580801.5474289915
7,585092.5357647768,586789.4817286524,588790.617134355,590803.0157706834,592568.9026344513,594061.8966791407,595134.7690144129,595700.1045332105,596196.4035574673,596655.1402389982,597445.6078187427,598431.6728353815,599576.968465604,600853.7213695212,602008.3855323263,602873.318862856,603375.793241025
8,586640.5064484483,588354.7727712817,590375.523046756,592407.9450556289,594189.801581341,595712.5346862295,596802.762972805,597379.6955079853,597888.9322538568,598355.4084404635,599157.0448688418,600150.9486770983,601302.8493530117,602595.1263563045,603759.434219878,604633.3928908267,605145.9331053171
9,571893.874194266,573568.7284598994,575544.2353181252,577530.8923313058,579270.3685836274,580773.6645735996,581842.7366289372,582412.0522952904,582916.2386435532,583375.7635563652,584160.8869701967,585131.5929031888,586253.8285247398,587520.8608154976,588655.3120995119,589509.7781788018,590014.8353838471
