,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,96565.11000000083,96701.51000000078,96882.71000000082,97085.63000000082,97258.84000000077,97388.93000000078,97478.05000000082,97525.55000000082,97557.41000000082,97586.07000000087,97636.09000000081,97715.0900000008,97832.54000000081,97957.27000000085,98054.06000000077,98135.5200000008,98187.08000000086
1,381609.8999999996,382472.39999999956,383535.09999999957,384616.0999999996,385565.49999999965,386310.09999999957,386834.5999999995,387139.3999999996,387373.2999999995,387624.89999999956,388015.99999999953,388507.09999999957,389128.5999999995,389751.6999999997,390278.19999999955,390684.7999999996,390948.8999999997
2,517844.9338148898,519071.18185005157,520572.6385822886,522081.41091160785,523412.7883971066,524468.3689150373,525215.0896872261,525646.9283818278,525986.5042876771,526346.3492003932,526912.188228288,527602.6406183122,528469.5781934932,529336.8441847225,530081.2301061932,530650.8792091459,531021.0038783927
3,549502.5915933325,550836.0033455709,552463.1713832981,554082.5816131774,555517.4770307585,556669.575414409,557487.3293837821,557954.213457343,558331.108877242,558718.6591714553,559341.613931736,560082.0288303683,561012.533138877,561945.1819938669,562757.1723087463,563375.2889544306,563776.2097592204
4,520500.1035751084,521789.12316830433,523357.74349265813,524902.8865081578,526277.7771490306,527400.3692065759,528199.5043884465,528647.4418041863,529021.1090281854,529389.7395567892,530000.5576693156,530704.4526272397,531592.8465148219,532486.9788060774,533277.4033569256,533876.5792224995,534264.1357604375
5,474754.6999999989,475952.7999999989,477407.399999999,478825.5999999989,480091.899999999,481147.39999999903,481899.7999999989,482312.7999999989,482670.49999999884,483007.49999999884,483585.2999999988,484229.0999999989,485045.89999999886,485872.4999999989,486613.29999999877,487173.2999999989,487534.399999999
6,447715.7558504768,448861.53897716914,450250.8985818029,451596.3132878874,452798.3940403155,453820.7299128827,454548.0809362718,454940.9324709734,455292.4022421392,455612.48821980524,456175.49500184547,456786.4455782006,457563.6806505359,458354.1872746934,459066.8097603277,459605.5451850824,459952.25556464837
7,440961.2250797831,442098.83105540095,443477.8472619614,444809.8847539589,445997.15656093904,447024.0707024044,447750.9295913104,448140.31503750954,448496.43696392543,448815.8042353999,449384.2908292683,449992.1105453318,450764.5970323904,451553.1876108921,452262.1632526549,452799.5843219336,453145.4954162852
8,447601.2063838504,448760.4136450477,450165.56665121793,451523.4895760862,452728.4220614042,453784.5465354842,454526.60777821235,454923.88136855845,455291.35056464135,455621.1861410911,456208.20915576775,456833.00272336206,457623.66308897623,458432.82430974365,459154.1618648176,459703.23086624296,460057.5474855972
9,460745.7984586114,461942.0241564625,463391.3773603159,464794.302932142,466032.4250412458,467129.28157904226,467893.377310076,468304.5651330711,468685.8894435712,469032.3720311879,469643.7716548444,470296.0299342613,471115.89276370767,471956.4206723963,472697.60698465316,473264.29827370116,473631.83970327245
10,473505.09999999905,474739.3999999992,476232.59999999916,477679.4999999992,478949.39999999915,480085.3999999992,480869.4999999992,481295.2999999991,481688.7999999992,482053.09999999916,482687.49999999907,483368.09999999916,484216.2999999992,485087.2999999991,485847.2999999992,486430.59999999916,486811.79999999923
11,480443.42487143446,481705.6620375161,483227.90867274546,484701.8393795959,485988.7257415099,487151.90685641154,487947.0426668487,488383.8546840203,488784.6322178532,489163.98650722887,489814.53596081666,490516.83540718403,491383.2580402701,492274.6387404806,493045.7644420234,493639.2111459216,494030.99790451775
12,481941.94760629075,483223.46493689145,484761.39144796965,486246.4133591305,487536.3582868662,488715.33077088045,489513.29215256486,489957.33808271924,490361.1504196348,490753.16147416283,491414.5016912192,492132.7173009769,493008.5773229605,493911.025928891,494686.4124152156,495284.25339262874,495683.56933777634
13,479836.05790542933,481132.8468175082,482678.4898868206,484163.89764886675,485447.39796146716,486634.08125714306,487429.340304856,487877.69413940783,488281.9225124895,488685.63318748184,489355.63944121293,490086.9414911774,490967.42758551537,491874.90374706057,492650.37816739554,493249.11006637465,493653.79181877576
14,475961.14546971174,477273.8457987499,478824.6455504475,480304.9679590685,481576.94509071193,482766.5678289369,483556.2789714313,484006.8667973972,484410.5164035625,484826.40993386693,485506.1914608042,486250.703787585,487134.97856537986,488044.71437681996,488818.7959463835,489417.1644934134,489825.94286651653
15,472152.59999999957,473486.4999999994,475045.2999999997,476520.2999999996,477780.0999999995,478971.1999999996,479755.19999999943,480206.7999999995,480610.4999999996,481040.4999999994,481734.39999999956,482495.1999999994,483386.39999999956,484298.8999999995,485072.7999999995,485671.79999999946,486084.29999999946
16,469858.4046637809,471222.31447276217,472796.17792721116,474269.8251937251,475520.37979364075,476714.1874614671,477494.4659963289,477946.61839294113,478352.311286444,478799.4577512746,479514.24035488314,480296.6463930589,481200.9439883793,482119.2937633796,482896.3084715741,483498.6734312266,483915.24881727656
17,468976.9164950503,470378.6619970298,471974.13654615695,473450.4978095159,474694.9686915928,475892.9406140708,476671.5225984269,477124.1694316095,477533.868557532,478001.0218679452,478742.6200058511,479551.3410507568,480474.1920757643,481401.29267354024,482184.37508647924,482792.5357075478,483213.6072326058
18,469019.0859944291,470464.38228491606,472086.316201497,473568.5278284438,474809.4676927241,476012.67003594077,476791.0862023601,477244.481273807,477659.9601853978,478149.4771089782,478922.1794793772,479760.6025119248,480705.80816895934,481643.6847020107,482434.837465597,483050.41126825527,483476.30123929644
19,469495.8636625384,470988.3150485348,472639.85723789124,474130.12523158104,475369.4777959034,476578.58630520705,477357.8732041953,477812.58207733626,478235.37454217556,478749.10823334067,479555.55930193537,480425.7493153951,481395.45617476944,482345.25782032055,483145.53322980966,483769.32455264166,484200.25683065783
20,469918.19999999984,471459.2999999997,473141.89999999985,474641.49999999977,475880.5999999996,477095.8999999998,477876.5999999996,478333.49999999965,478764.8999999997,479304.1999999997,480145.39999999973,481048.0999999996,482042.7999999997,483004.7999999997,483814.29999999976,484446.2999999997,484882.3999999997
21,469900.5764734398,471490.09607143264,473203.870818408,474713.4390455013,475953.26148392446,477174.885697718,477957.2781478326,478417.5861442125,478858.7362363683,479424.5072876697,480300.0674196482,481234.8846205771,482253.7052062102,483227.47180599795,484045.5432716774,484685.09832916904,485126.4116263731
22,469471.5984135066,471109.1390749875,472854.33996740135,474375.0370028043,475617.1941467609,476846.07397283486,477631.09985372535,478096.48339084064,478548.72815023514,479141.665454054,480050.8286853747,481016.97929599346,482058.8439739807,483043.9241769463,483869.9400388656,484516.4253771781,484962.99213179824
23,468763.4021168533,470448.7840428257,472226.1637071906,473759.96543735644,475006.9560676349,476245.0593990927,477034.55248570157,477507.1575653623,477972.1319459176,478592.77997660334,479534.6762412769,480531.171661121,481595.0901386459,482591.18064489524,483424.73517021484,484077.72326060256,484529.59682403645
24,467908.1238801332,469641.3860071092,471452.1982979865,473001.89591460564,474257.10532567254,475507.4365502336,476304.1234117851,476786.5744932559,477266.20382773323,477914.9563327684,478888.60253145255,479914.2493508322,480999.3175355407,482006.2647418961,482847.1735343759,483506.4340960179,483963.68101084966
25,467037.9,468819.29999999993,470665.29999999993,472234.4999999998,473502.19999999995,474768.79999999993,475576.2999999998,476071.7,476568.19999999984,477245.2999999998,478249.59999999986,479302.9999999999,480408.3999999999,481426.2,482274.4999999998,482939.9999999999,483402.6999999998
26,466256.6990424589,468086.6932415058,469970.016399156,471562.89782426844,472847.96467066003,474135.6017476602,474958.15741233865,475469.92023020727,475985.69256808126,476691.278698045,477725.0979665226,478804.7511246307,479929.7751867787,480958.56221262703,481814.4808417145,482486.35885209567,482954.614277229
27,465555.8186509233,467434.9817030198,469357.6603842374,470978.0037792664,472284.78992136306,473597.7234945893,474439.1219866705,474970.3026050274,475507.5172415267,476241.8091158377,477304.2732526494,478408.9897652682,479553.1360283125,480593.13621867436,481456.96795805736,482135.4315837388,482609.4050402004
28,464898.3887381583,466827.39354378084,468791.23616974056,470442.18082213006,471774.2328367361,473115.9043676882,473979.2078548328,474532.3348647437,475092.8256309313,475856.17018460756,476946.739555515,478075.7428435905,479238.7392764569,480290.2591184082,481162.334653543,481847.6348893341,482327.5586645572
29,464247.5392169288,466227.156923028,468233.7479701626,469917.79190999584,471277.8505014061,472650.8834938583,473538.4291486634,474115.5047496402,474700.7693468907,475493.6408355851,476612.1105722537,477765.03728127514,478946.8416830676,480010.26801209466,480890.9542326857,481583.3854632862,482069.5615259426
30,463566.40000000055,465597.50000000047,467648.20000000054,469367.2000000005,470757.20000000054,472163.40000000055,473076.80000000034,473679.30000000045,474290.5000000004,475113.5000000004,476260.0000000005,477436.9000000004,478637.70000000054,479713.5000000005,480603.2000000004,481303.10000000044,481795.9000000005
31,462825.09295672516,464908.6333625446,467004.63638496853,468759.9608574251,470181.252633436,471621.85131164175,472562.21060281247,473191.23133495875,473829.26469130674,474683.09392015013,475858.0223142615,477059.27808090026,478279.4500466756,479368.1601434946,480267.3109614643,480975.05826244835,481474.9144647108
32,462021.7077828019,464158.69731293485,466301.2608956509,468094.40148013126,469548.6365677883,471025.2680488094,471994.05539959355,472650.90138905135,473316.6924836594,474202.0380825965,475405.79510402866,476631.7992429345,477871.74391277094,478973.92534835794,479882.9889289056,480598.99228786776,481106.3613074015
33,461161.32613051595,463352.8145820529,465543.317213849,467376.0416741249,468865.3941854226,470380.3391301562,471379.6048949684,472065.9357756645,472760.5079303587,473678.01528496767,474910.9367366651,476162.0113645185,477422.11275552836,478538.34048147395,479457.80141561455,480182.497182063,480697.85091773665
34,460249.0296521531,462496.10790078033,464736.0490213645,466610.401245412,468137.56786870444,469693.7534743352,470726.12959356187,471443.96010818484,472168.4355847051,473118.7083248923,474381.06557953404,475657.46232406795,476938.08773219027,478068.9504097265,478999.31593488215,479733.16805083863,480256.99368538096
35,459289.89999999915,461593.69999999914,463884.69999999914,465802.9999999991,467371.19999999914,468972.19999999914,470040.8999999991,470792.5999999991,471548.19999999914,472531.799999999,473823.7999999992,475125.699999999,476427.1999999991,477573.29999999906,478515.09999999916,479258.59999999905,479791.39999999915
36,458286.56833064085,460648.2053083163,462991.9836609704,464956.86434603104,466569.9975955964,468220.2362057735,469329.2265764113,470117.6248299577,470905.6798666919,471923.1128213542,473244.87437643175,474572.36615176796,475895.0510265192,477056.9948133948,478010.7785124283,478764.44409811107,479306.73746392794
37,457231.86381786945,459652.20504524076,462050.49283315934,464065.0471002082,465728.32620748365,467433.8939101733,468588.5796149548,469417.379038767,470239.3704238356,471291.02815377596,472642.487131236,473995.4780629933,475339.5235206039,476517.8831878936,477484.2059263203,478248.57526478986,478800.9025301938
38,456116.16513977724,458595.7721280066,461050.29017486254,463118.10768136923,464838.2160215722,466607.073511686,467814.46936529235,468688.350832597,469545.92104763293,470632.0670755201,472012.9526978239,473391.1468983342,474756.5705014285,475951.87415569456,476931.2940839978,477706.9243824126,478269.8488644952
39,454929.85097445635,457468.9794738481,459981.438344377,462106.6055083533,463891.6972237737,465733.6754087989,467002.40607708634,467927.0284176177,468821.98111428664,469942.75066484255,471352.5855096077,472755.48382244987,474142.1449881686,475354.8767489968,476347.9548277832,477135.4223333568,477709.5301325308
40,453663.29999999976,456261.8999999998,458833.9999999998,461021.09999999974,462880.79999999976,464807.59999999986,466147.8999999998,467129.8999999998,468064.1999999998,469219.5999999997,470657.69999999984,472084.5999999996,473492.19999999984,474722.79999999964,475730.09999999986,476529.9999999998,477115.89999999973
41,452306.78012070816,454964.54140418686,457597.9297711465,459851.91455844714,461797.18738417485,463822.2438652611,465245.8374915388,466292.7485452069,467268.5102419225,468458.46839442913,469924.0169800082,471374.0853120241,472802.22584724426,474051.1190029222,475073.22858881933,475886.19734510384,476484.54287957394
42,450850.11614571774,453566.6505060994,456262.7501717092,458588.4285190333,460631.0538022743,462768.98831049475,464288.60934058425,465408.5360558779,466427.9770209958,467652.53810229653,469144.88277102483,470617.4445050891,472065.86200481094,473333.57310006424,474371.1881658109,475197.99065297,475809.5661718206
43,449283.022110373,452057.90890591836,454817.8756866985,457219.7852003958,459372.2265282862,461638.7108230978,463267.9824438601,464469.51929394546,465534.9486791076,466794.3236129491,468313.0500720371,469807.66104214184,471276.28523875534,472563.46769574477,473617.41344839253,474458.9652882841,475084.70802428015
44,447595.21205001883,450427.9982038247,453252.72080112505,455735.12792117207,458010.53283619863,460422.28889046714,462175.7236980905,463467.95502134174,464581.7735581461,465876.3394157344,467421.27158203296,468937.71838612953,470426.6723151331,471734.10819428344,472805.3391539828,473662.70661573205,474303.70658449293
45,445776.39999999997,448666.59999999986,451556.70000000007,454123.5999999999,456535.80000000005,459110.60000000003,461003.6,462396.09999999986,463560.7999999998,464891.1,466462.29999999993,468000.5999999999,469510.2,470838.79999999993,471928.4000000001,472802.7999999999,473460.2999999999
46,443816.3151865252,446763.4146749349,449719.3100544424,452374.5390201789,454938.086467703,457694.83313318127,459743.75785743195,461246.6649892133,462464.8871656165,463831.6416009276,465429.39450353413,466989.77500013396,468520.5111845027,469871.3067749142,470980.4823322936,471873.27132147236,472548.6526177745
47,441704.74759925914,444708.21773036104,447730.3768800037,450478.05962365784,453208.37538341875,456167.4232478474,458389.86222270766,460014.1767377205,461288.9374921808,462693.08743703726,464317.84018466435,465900.65511664946,467453.11326015205,468827.2252118486,469957.2790104364,470869.90852332965,471564.63358252274
48,439431.5024187304,442490.8034483196,445579.8086783438,448424.470717047,451337.8810652829,454521.1167959229,456935.95765926724,458693.6159916209,460028.3642359366,461471.08247268293,463123.42861402733,464729.1377330979,466303.97974355,467702.6102613258,468854.93452243245,469788.94006445067,470504.5382383837
49,436986.3848254676,440100.9661108521,443257.51365112246,446204.08120695734,449317.8178314314,452748.66022933216,455376.088730551,457279.96349701413,458678.5806531282,460161.2716722189,461841.9513622601,463471.12023303064,465069.0841512985,466493.51687386853,467669.5933562855,468626.59440371423,469364.66192949616
50,434359.1999999997,437528.49999999977,440753.3999999998,443807.1999999997,447139.3999999998,450842.7999999997,453704.2999999997,455768.1999999997,457234.99999999977,458759.29999999964,460469.1999999997,462122.49999999977,463744.3999999997,465195.99999999977,466397.3999999998,467379.0999999997,468141.2999999997
51,431538.0391331906,434761.6574960728,438055.9588110839,441222.69896083634,444792.10514501296,448794.0604020135,451912.0270787325,454150.4466979389,455690.06989561056,457257.79480185953,458997.9218058545,460676.1234874391,462322.8574147446,463803.0914974201,465031.5132820063,466039.7541690057,466827.88904932706
52,428504.13745724555,431782.523372456,435148.0127082763,438433.70178633527,442258.46386405075,446584.07709811535,449980.26976858475,452407.38659323944,454024.37541028083,455637.31294955406,457408.68689031753,459112.6334283126,460785.2129545806,462295.730852541,463553.1493924439,464590.1296537107,465406.4306980877
53,425237.016214705,428571.64050080255,432010.9671999265,435421.89513141575,439519.27001058194,444192.2635932101,447887.41891907057,450516.8431395702,452215.5359771456,453875.3936963185,455679.0210718532,457409.62162546645,459109.1797870441,460651.8344589517,461940.5388618781,463008.86805391265,463856.06782218453
