,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,96092.50000000081,96239.08000000083,96445.13000000078,96656.70000000078,96844.84000000084,96992.73000000078,97076.17000000078,97121.0500000008,97148.7300000008,97177.5400000008,97225.7000000008,97323.7500000008,97450.70000000086,97596.09000000083,97708.28000000084,97801.14000000083,97841.39000000089
1,379271.3999999997,380203.0999999996,381347.99999999965,382501.9999999996,383506.9999999996,384313.7999999996,384842.39999999956,385141.29999999946,385360.0999999996,385612.49999999965,386003.2999999996,386590.6999999996,387271.3999999997,388016.7999999996,388652.3999999997,389141.19999999966,389407.8999999996
2,514580.76599090255,515904.9499913294,517511.1940161802,519127.7269928188,520535.664082893,521671.95267493685,522433.7471336597,522859.91951453185,523181.7813526774,523543.39455662895,524111.61436280864,524934.3030637413,525883.1115320193,526920.0465111486,527818.467536541,528503.0936766871,528883.1254809471
3,545973.2780879972,547411.9080674804,549142.8649116221,550883.8111539701,552402.8989275007,553636.7093507859,554480.9064162475,554944.9079437355,555307.2467109802,555697.4510091326,556325.5880169944,557204.7974231662,558220.7050849017,559332.5032064541,560309.2254646487,561048.6401334299,561462.1568498648
4,517088.476141093,518477.3121098906,520136.22835125256,521804.2397381358,523263.9593083577,524460.0863512416,525296.6374907111,525746.0674010708,526111.5887137924,526483.2819570694,527101.2176626824,527932.9430710076,528898.9710953326,529960.1082985322,530906.1456604316,531617.9665234571,532018.1597938497
5,471565.8999999991,472854.499999999,474384.49999999895,475922.99999999895,477274.099999999,478394.0999999989,479193.69999999885,479613.19999999885,479969.89999999903,480309.4999999989,480894.49999999884,481649.49999999895,482532.6999999989,483508.7999999988,484390.6999999989,485051.19999999896,485424.2999999989
6,444630.8591055247,445861.0542351126,447318.36568556516,448784.53015113284,450075.6995751301,451159.27310637187,451941.8098144832,452346.0099812626,452702.32970414124,453023.46463648713,453591.25663654634,454300.7981740106,455136.1122098196,456066.34376275225,456911.7819633122,457544.59472393687,457903.5754833167
7,437851.74126247887,439071.5357760162,440518.39188676164,441975.0722306735,443259.63179913827,444350.1544221502,445138.5077142328,445543.8100947371,445909.2529433875,446227.52296112926,446796.60880983435,447495.44744146115,448321.148032646,449247.81399581966,450087.971445744,450718.9128867624,451078.3135704358
8,444382.7038666702,445624.7501993628,447102.6152451749,448591.31923464715,449903.89423558087,451029.7991847419,451838.29070674017,452255.81521757966,452636.1013305626,452962.7689675272,453545.5026648485,454257.6276219058,455099.177750562,456050.1123475104,456905.26994651917,457551.04368761904,457920.67391589604
9,457377.9043139074,458659.5030818059,460189.0724023917,461729.9641590802,463086.4844480153,464261.26263155544,465095.655799498,465531.24022694776,465928.3064784914,466270.2966492831,466872.8843465747,467611.51853490004,468481.57164565177,469470.14046613366,470349.6789648625,471017.87632564997,471402.8161742372
10,469991.4999999992,471314.5999999991,472895.7999999992,474487.69999999914,475885.39999999927,477107.59999999916,477965.0999999991,478419.2999999991,478831.2999999991,479191.1999999991,479813.69999999914,480581.2999999991,481479.69999999925,482504.7999999991,483407.19999999914,484096.2999999992,484496.8999999992
11,476821.5201938221,478176.1454081152,479792.6900631886,481417.6741709282,482839.1586744689,484095.59029567376,484966.82109268906,485436.02988572326,485858.35511063016,486235.4182807651,486873.3141467708,487663.9033624267,488580.5249474204,489629.6459847057,490544.8574479506,491246.2174627179,491659.0272033299
12,478241.48165652086,479619.43927040405,481257.0561515694,482898.85175538115,484328.35913187475,485606.907596949,486483.81996982446,486964.7471204368,487394.11143680534,487788.27182262077,488438.7648151917,489247.26607007755,490173.3760286571,491234.8470050116,492153.7672919233,492859.5856774878,493281.0682168083
13,476068.77302230836,477467.0804286348,479118.06720835547,480766.65225436963,482194.1202520456,483486.949750387,484364.7983006149,484855.5894122883,485291.050207665,485703.92622409336,486367.5084102266,487192.0770965146,488123.17463618336,489189.22503296396,490106.06841192034,490811.3751608984,491238.8356286213
14,472120.7829253971,473541.66772457684,475204.8921767608,476856.49516890524,478277.5609148108,479581.1146025497,480458.45775427,480958.6944694263,481401.65265234956,481836.54708371044,482517.00133684085,483359.0254153009,484294.8421624729,485361.6020406107,486273.8996879447,486976.55642953893,487408.14202695596
15,468214.8999999997,469665.7999999995,471346.6999999996,473003.7999999996,474419.7999999996,475734.7999999996,476613.4999999996,477124.1999999996,477578.39999999956,478040.29999999946,478744.6999999996,479608.7999999996,480553.2999999996,481620.79999999946,482529.39999999956,483230.09999999945,483664.7999999994
16,465786.0457191835,467278.2729324221,468987.2804616764,470657.17316515034,472073.89212699037,473404.39451092866,474288.82901475637,474812.08567584015,475282.9690533341,475778.066240448,476515.900376366,477409.15077627834,478369.532000495,479440.88749842,480349.21944488137,481050.8586251873,481488.3661033596
17,464739.2729114347,466282.6695423641,468028.9067069577,469717.9687477985,471140.6348733599,472490.24959005025,473384.1580064661,473921.69902351254,474413.81890938804,474947.5897483841,475727.2567293957,476656.0714782251,477638.7718527222,478716.91958413034,479628.0529865595,480333.21400328295,480773.3727623277
18,464597.1672440939,466198.7696860947,467988.47272140067,469700.7277478714,471132.7615562339,472503.7074137071,473409.4024907974,473962.22953326465,474478.60423877457,475055.330136096,475883.26289424207,476852.6167920325,477862.3157047016,478949.1979206303,479865.10680579673,480575.43006878457,481018.0963696157
19,464882.31438450195,466546.3532198834,468382.87249056227,470119.991165296,471563.00549273845,472956.1101582425,473874.47798341885,474442.86669534445,474984.9797121072,475607.7470158717,476488.4127060589,477501.8414038931,478541.4597044538,479638.02417142,480559.5870833558,481275.7707561906,481720.8133179356
20,465117.2999999998,466845.19999999966,468728.99999999977,470490.2999999999,471944.0999999998,473358.7999999998,474289.2999999998,474872.79999999993,475440.59999999986,476111.2999999997,477047.1999999997,478106.79999999976,479177.49999999965,480283.6999999997,481210.6999999998,481932.4999999997,482379.7999999997
21,464926.3977294422,466717.33086219354,468646.57129010384,470429.50196846866,471892.4392175672,473327.0500606091,474267.984448283,474865.54741091427,475457.7574760311,476177.32075744006,477169.378747763,478276.0823324574,479377.615050597,480492.6032216114,481423.94397252175,482150.3584365299,482599.79318322876
22,464340.63309773937,466193.7305601376,468166.5906205984,469968.67165342346,471439.06057468423,472891.8572428487,473841.44880430965,474451.9407855119,475067.29532564123,475836.6291838406,476885.7434672243,478040.4184170202,479172.5125604523,480295.4162584652,481229.9863618372,481959.9935093783,482411.3711338789
23,463492.7196013153,465407.62482698465,467422.884306041,469242.1903541438,470718.66232301743,472188.1493947836,473144.8109361945,473767.14045465237,474404.6944372357,475224.9172315209,476332.34881280403,477536.073335354,478698.7825450088,479828.897684513,480765.78676489147,481498.52936396154,481951.5724929143
24,462515.37073659396,464492.23939588765,466549.2786609889,468384.43936990935,469865.9427142337,471350.8543644788,472313.18871205277,472946.30674919515,473605.43569922,474477.8768528008,475645.24943892227,476899.31216912507,478093.01501971,479229.80607370724,480168.30477863044,480903.09014569636,481357.4359012996
25,461541.29999999993,463580.7999999998,465679.6,467529.79999999993,469015.5999999999,470514.89999999997,471481.69999999995,472124.6,472804.9999999999,473731.19999999984,474960.4999999999,476266.3999999999,477491.7999999999,478634.8999999998,479574.4999999999,480310.79999999976,480765.9999999999
26,460674.15856304683,462777.3972188018,464918.5095779074,466783.5397609743,468273.3270027397,469786.34524663386,470756.72919211024,471408.5862805022,472110.2818425407,473091.82752979023,474385.13663258107,475744.38629389065,477002.3837971152,478151.614815133,479092.03666503035,479829.5124286914,480285.0955637236
27,459901.34829760774,462069.5810170844,464254.0084106483,466134.4710385075,467628.794827903,469155.7734385549,470129.7267762951,470790.45463443984,471513.8301880469,472551.69591625256,473910.1214017069,475323.4580536938,476614.6379054679,477770.09298200824,478711.39756609144,479449.9983592029,479905.7219021562
28,459181.20875064516,461415.76620596607,463644.9324544355,465542.29243555345,467042.66915169626,468584.899007159,469563.4097644248,470233.7998481263,470979.6076122827,472073.9905378197,473497.39785454195,474964.58666655154,476289.09011526284,477451.15374131687,478393.7701346372,479133.75807536853,479589.6704587268
29,458472.07946912176,460774.36759656516,463050.11766548175,464966.7025550664,466475.6156503266,468035.4363838421,469020.49516836967,469702.2167078752,470471.5766910123,471621.8967729246,473108.90953825135,474628.74351960624,475986.26821670524,477155.6163337503,478100.341802122,478842.29186102276,479298.73267686507
30,457732.3000000004,460103.8000000005,462428.40000000043,464367.40000000043,465888.3000000005,467469.10000000056,468463.70000000065,469159.3000000005,469953.70000000054,471158.6000000005,472706.6000000004,474276.90000000055,475666.7000000005,476844.3000000004,477792.3000000005,478537.10000000044,478994.70000000054
31,456927.78481837077,459370.0850625994,461746.1783982672,463711.49898763467,465248.5959714748,466854.56255285616,467862.4763832767,468575.20986707765,469396.4871538068,470654.10992339946,472259.62352191296,473877.5492919804,475298.58576094214,476485.6367178567,477438.3557673573,478187.13024870434,478646.7397618771
32,456054.74811183085,458569.6717715259,461000.1037368098,462995.776192548,464553.20971370576,466188.3298029336,467213.216890512,467946.3678767305,468796.63592217286,470105.73355115054,471765.9773259496,473429.27176820626,474880.8158176774,476078.5094135029,477037.3145737988,477791.12025381107,478253.52285749785
33,455116.9789961056,457706.6159491526,460194.38987621886,462224.42390364397,463806.05547019927,465473.86577658297,466519.04920610896,467275.76095284446,468157.3911136355,469517.602217202,471230.86936902965,472938.169598442,474419.95299394155,475629.4137502207,476595.50549656164,477355.2551345657,477821.0960721801
34,454118.2665869199,456784.97341785266,459333.250677085,461401.63440982637,463011.0474844616,464714.63450015464,465783.1010144704,466566.37601930543,467481.99753673194,468893.84725550195,470659.50760807295,472410.3449524515,473922.56011347024,475144.84539129207,476119.2576128828,476885.7200102133,477355.50619124126
35,453062.3999999991,455808.7999999991,458420.8999999992,460531.59999999916,462172.09999999916,463914.09999999916,465008.49999999924,465821.1999999992,466773.69999999914,468238.59999999916,470057.09999999905,471851.8999999992,473395.19999999914,474631.299999999,475614.8999999992,476388.6999999992,476862.7999999991
36,451949.94376347004,454778.90413080103,457458.34322902415,459615.44108848704,461290.3683113616,463073.3829419421,464196.40847478405,465041.51745118765,466034.1375422327,467554.4047766125,469427.253279767,471267.2997381884,472842.75955911656,474093.56791344,475087.0354655412,475868.63937649154,476347.2813887682
37,450768.5640550683,453683.1046968123,456433.75184211234,458641.9905913003,460355.9719172743,462184.23054971104,463340.12726165785,464221.8034586385,465258.5261232619,466837.4578791453,468767.16929449426,470654.4604734815,472263.42202382267,473529.6181639796,474533.36173871375,475323.01902555267,475806.28266785236
38,449502.70246493095,452505.97319742246,455332.088840688,457597.0095498694,459356.2713675056,461236.0466865084,462430.99181113916,463354.8307404949,464440.47593317425,466082.3685933713,468072.44866933755,470009.66133967997,471653.69470896997,472935.71445779863,473949.8502791153,474747.5789863675,475235.3932525518
39,448136.8005831956,451232.08113202156,454138.31722617557,456466.2590056255,458278.6272118245,460218.235215537,461460.33757374674,462433.3720149007,463573.59716205753,465283.74620506476,467338.69202945364,469329.18147058535,471010.0849294113,472308.1205010783,473332.47254634445,474138.05929812137,474630.20255816734
40,446655.2999999997,449845.9999999999,452837.3999999998,455235.4999999997,457110.3999999999,459120.19999999984,460419.4999999998,461450.1999999999,462651.4999999998,464436.1999999997,466561.4999999997,468609.2999999998,470329.09999999986,471643.09999999974,472677.19999999984,473490.19999999984,473986.2999999998
41,445042.72892774525,448332.27121419314,451414.1718856329,453890.33425841323,455838.9219830754,457931.4944793722,459300.086517584,460398.3819281685,461667.9642772592,463534.1669701473,465735.9153590151,467845.45895526273,469606.32480258826,470936.13162837934,471979.38717047503,472799.2674453262,473298.9066830463
42,443283.9620678929,446675.31584122276,449852.95449473837,452415.726242248,454451.41221719474,456642.27039821993,458094.7924628544,459272.1630887134,460617.4483847773,462571.39493226586,464854.7494960702,467029.75193786534,468833.6544870297,470179.5539305755,471231.920871344,472058.6332439759,472561.77047109004
43,441363.9607441677,444859.5248611555,448137.9411610271,450796.481096876,452935.06145977625,455242.8290773815,456796.58514933253,458066.0832851741,459494.58035366546,461541.45940931054,463910.2559536174,466153.43544283643,468002.06177017675,469364.92041858175,470427.0709869752,471261.19531996245,471768.2709176104
44,439267.68628029496,442869.2892540589,446253.3252182106,449017.40396766923,451277.06046823843,453723.4718376954,455398.43189054035,456774.6823210897,458293.98821503564,460437.9359242368,462894.68827410974,465207.765965205,467102.5193688825,468483.78460439196,469557.1074017375,470399.8515972992,470911.7875760872
45,436980.1,440689.00000000006,444183.30000000005,447063.30000000005,449464.60000000003,452074.5000000001,453893.3,455392.50000000006,457010.30000000005,459254.4,461800.30000000005,464184.0000000001,466126.00000000006,467527.69999999995,468614.29999999993,469467.50000000006,469985.69999999995
46,434485.1637255473,438302.0558124252,441910.9900284433,444917.7722778585,447483.62135633593,450285.04954056826,452273.0342548785,453912.9860361375,455637.13254872913,457983.69374279724,460618.9436841709,463073.2532407596,465063.43883052934,466488.1063730411,467590.7022525575,468456.7364422028,468983.02147904533
47,431762.8412733594,435687.8863382967,439415.2445789344,442559.6156397072,445315.0680139469,448339.59505740914,450524.9892869243,452325.2297865077,454164.05793762894,456615.7255917913,459340.8679212247,461866.0781750571,463905.6208280588,465355.9885137177,466477.50197591016,467358.9487985438,467895.30024778715
