,Age,year,qx_male
0,0,2000,2970.977255721985
1,1,2000,1507.0415665587143
2,2,2000,864.4895825771334
3,3,2000,555.2933649567673
4,4,2000,395.48767029593023
5,5,2000,309.2507164734908
6,6,2000,262.89077071876795
7,7,2000,240.57272163030723
8,8,2000,234.6623401862564
9,9,2000,241.59388905209977
10,10,2000,259.9522504205914
11,11,2000,289.4582049932024
12,12,2000,330.28005763343987
13,13,2000,382.3865431329198
14,14,2000,444.8014228006479
15,15,2000,514.7455628627476
16,16,2000,586.8153821122512
17,17,2000,652.5478431098915
18,18,2000,700.881789894936
19,19,2000,719.9764656477327
20,20,2000,700.4102426691029
21,21,2000,640.1833420923526
22,22,2000,652.0147140252404
23,23,2000,666.0967143099298
24,24,2000,682.5650608706201
25,25,2000,701.5807816827189
26,26,2000,723.3328379078341
27,27,2000,748.0412495968668
28,28,2000,775.9607962709089
29,29,2000,807.3853793444129
30,30,2000,842.6531506330186
31,31,2000,882.152531660181
32,32,2000,926.3292728326094
33,33,2000,975.6947306318561
34,34,2000,1030.8355757877578
35,35,2000,1092.4251872029618
36,36,2000,1161.2370367088686
37,37,2000,1238.1604304185184
38,38,2000,1324.2190457945724
39,39,2000,1420.5927923940842
40,40,2000,1528.643632068479
41,41,2000,1649.9461254905382
42,42,2000,1786.323631577809
43,43,2000,1939.8912812915341
44,44,2000,2113.107085622436
45,45,2000,2308.8328295502715
46,46,2000,2530.406762129277
47,47,2000,2781.730533531762
48,48,2000,3067.373372811171
49,49,2000,3392.6971703216195
50,50,2000,3764.0069575601046
51,51,2000,3520.0058682680833
52,52,2000,3934.065308489978
53,53,2000,4377.705967541566
54,54,2000,4850.186707320265
55,55,2000,5350.2881331381295
56,56,2000,5876.283370091604
57,57,2000,6425.91734902782
58,58,2000,6996.396044032486
59,59,2000,7584.38693125195
60,60,2000,8186.03170374747
61,61,2000,8796.971982531237
62,62,2000,9412.388416543654
63,63,2000,10027.05317365866
64,64,2000,10635.395403158023
65,65,2000,11231.578812173608
66,66,2000,11809.590060851804
67,67,2000,12363.336261088616
68,68,2000,12886.749479602444
69,69,2000,13373.895815337257
70,70,2000,13819.086359805062
71,71,2000,14216.987170818951
72,72,2000,14562.725305928543
73,73,2000,14851.987978849287
74,74,2000,15081.112023181639
75,75,2000,15247.161071179435
76,76,2000,15347.98817513587
77,77,2000,15382.282004637133
78,78,2000,15349.595230050434
79,79,2000,15250.354233394934
80,80,2000,15085.849851890673
81,81,2000,14858.209435109562
82,82,2000,14570.35106133547
83,83,2000,14225.921290569595
84,84,2000,13829.218310244107
85,85,2000,13385.102737286923
86,0,2001,2820.662806278623
87,1,2001,1440.657305234322
88,2,2001,830.3347557304344
89,3,2001,534.8534760533255
90,4,2001,381.3392966213804
91,5,2001,298.05024975475965
92,6,2001,252.91504641503997
93,7,2001,230.76670557603444
94,8,2001,224.2285955565551
95,9,2001,229.79166124274838
96,10,2001,245.985219271381
97,11,2001,272.4089023361354
98,12,2001,309.08446338312655
99,13,2001,355.86289415292924
100,14,2001,411.75980350919264
101,15,2001,474.2059048172158
102,16,2001,538.3414163233698
103,17,2001,596.6539381641581
104,18,2001,639.3919607542258
105,19,2001,656.1419884845753
106,20,2001,638.5876955240523
107,21,2001,581.0263856744097
108,22,2001,591.9964141103021
109,23,2001,605.105477129498
110,24,2001,620.4858454100283
111,25,2001,638.2950264850031
112,26,2001,658.7184520344013
113,27,2001,681.9726918195171
114,28,2001,708.3092721648555
115,29,2001,738.0191930533642
116,30,2001,771.4382570361041
117,31,2001,808.9533459299792
118,32,2001,851.0098084924988
119,33,2001,898.120154903276
120,34,2001,950.8742931498014
121,35,2001,1009.9515897844641
122,36,2001,1076.13509480379
123,37,2001,1150.3283398341298
124,38,2001,1233.575203150735
125,39,2001,1327.0834377254052
126,40,2001,1432.252583728186
127,41,2001,1550.7071399649003
128,42,2001,1684.3360561679385
129,43,2001,1835.339838046758
130,44,2001,2006.2868397621976
131,45,2001,2200.1806668053905
132,46,2001,2420.5410421836027
133,47,2001,2671.501020509936
134,48,2001,2957.924093460837
135,49,2001,3285.545548154212
136,50,2001,3661.143457831079
137,51,2001,3465.8079716584857
138,52,2001,3872.283083731492
139,53,2001,4308.1539973253875
140,54,2001,4772.83978789101
141,55,2001,5265.310794551629
142,56,2001,5784.058590406995
143,57,2001,6327.07340722428
144,58,2001,6891.830381652568
145,59,2001,7475.285854717084
146,60,2001,8073.884764200082
147,61,2001,8683.579922769506
148,62,2001,9299.863678148238
149,63,2001,9917.812112613092
150,64,2001,10532.141567538141
151,65,2001,11137.276886626552
152,66,2001,11727.430372787405
153,67,2001,12296.690063453834
154,68,2001,12839.115563285066
155,69,2001,13348.83934734916
156,70,2001,13820.171176913762
157,71,2001,14247.703067168863
158,72,2001,14626.412122566828
159,73,2001,14951.758519073173
160,74,2001,15219.775968141686
161,75,2001,15427.15214555672
162,76,2001,15571.2968063931
163,77,2001,15650.395628290265
164,78,2001,15663.448218416643
165,79,2001,15610.289171048567
166,80,2001,15491.591556090258
167,81,2001,15308.852735673507
168,82,2001,15064.36292668524
169,83,2001,14761.157431972199
170,84,2001,14402.953933102744
171,85,2001,13994.076655549752
172,0,2002,2672.7339554875784
173,1,2002,1373.1994123819823
174,2,2002,794.8218086597286
175,3,2002,513.3799146887347
176,4,2002,366.5350822022094
177,5,2002,286.53286656417674
178,6,2002,242.93506538270253
179,7,2002,221.2776119569597
180,8,2002,214.48202408223867
181,9,2002,219.14174756421338
182,10,2002,233.78399920839252
183,11,2002,257.9494062061263
184,12,2002,291.58085928964266
185,13,2002,334.4743857354202
186,14,2002,385.67433259994493
187,15,2002,442.799652293904
188,16,2002,501.41475833771955
189,17,2002,554.7086075916181
190,18,2002,593.8616665496415
191,19,2002,609.4427567728869
192,20,2002,593.857752800916
193,21,2002,547.7368309029523
194,22,2002,556.98281727178
195,23,2002,568.3110776215517
196,24,2002,581.8417978587083
197,25,2002,597.7205434725211
198,26,2002,616.1208698861165
199,27,2002,637.2474822887079
200,28,2002,661.340025454556
201,29,2002,688.6776016499076
202,30,2002,719.58413558628
203,31,2002,754.4347302544625
204,32,2002,793.663187291713
205,33,2002,837.7709014249851
206,34,2002,887.3373818842872
207,35,2002,943.0327062041479
208,36,2002,1005.6322756432635
209,37,2002,1076.03431917423
210,38,2002,1155.2806878825747
211,39,2002,1244.5815977195512
212,40,2002,1345.3451209311256
213,41,2002,1459.2124014544913
214,42,2002,1588.0997850467677
215,43,2002,1734.2493208202275
216,44,2002,1900.2894196947439
217,45,2002,2089.30786278128
218,46,2002,2304.9398587551213
219,47,2002,2551.4744790129403
220,48,2002,2833.983584719914
221,49,2002,3158.478341254616
222,50,2002,3532.099644631281
223,51,2002,3367.249627777322
224,52,2002,3765.8325780604437
225,53,2002,4194.087620881846
226,54,2002,4651.625974402314
227,55,2002,5137.630554607545
228,56,2002,5650.823619002166
229,57,2002,6189.441020937679
230,58,2002,6751.214437210156
231,59,2002,7333.362827547374
232,60,2002,7932.594226486015
233,61,2002,8545.11875682599
234,62,2002,9166.673492637767
235,63,2002,9792.559494440915
236,64,2002,10417.690997816328
237,65,2002,11036.656369721284
238,66,2002,11643.790066402125
239,67,2002,12233.254446765683
240,68,2002,12799.12993001392
241,69,2002,13335.511651198232
242,70,2002,13836.610477651577
243,71,2002,14296.856016458973
244,72,2002,14710.999079901934
245,73,2002,15074.210991432994
246,74,2002,15382.177115526532
247,75,2002,15631.182083692205
248,76,2002,15818.184365394907
249,77,2002,15940.878092281873
250,78,2002,15997.740379065179
251,79,2002,15988.062783429008
252,80,2002,15911.965996362049
253,81,2002,15770.3973370362
254,82,2002,15565.111124927482
255,83,2002,15298.632497740526
256,84,2002,14974.205718417355
257,85,2002,14595.728450607923
258,0,2003,2512.9226697288345
259,1,2003,1301.2728692198912
260,2,2003,757.8478484354157
261,3,2003,491.7749982764765
262,4,2003,352.2638087575048
263,5,2003,275.95174549120384
264,6,2003,234.21148257198223
265,7,2003,213.37302798111833
266,8,2003,206.71573576664755
267,9,2003,210.98744625691614
268,10,2003,224.76833836864276
269,11,2003,247.6027572490116
270,12,2003,279.42420305725767
271,13,2003,320.0421275540698
272,14,2003,368.5795545603465
273,15,2003,422.846439175382
274,16,2003,478.7489562023617
275,17,2003,529.9722239955146
276,18,2003,568.283261310883
277,19,2003,584.7759285113007
278,20,2003,572.1018583147295
279,21,2003,546.6816543434034
280,22,2003,553.236525873688
281,23,2003,561.8973472821675
282,24,2003,572.7603015167726
283,25,2003,585.9473941374956
284,26,2003,601.6087389924833
285,27,2003,619.9254074417757
286,28,2003,641.1129168752785
287,29,2003,665.425452610173
288,30,2003,693.1609388540735
289,31,2003,724.6671000941143
290,32,2003,760.3486850043281
291,33,2003,800.6760619604994
292,34,2003,846.1954399977783
293,35,2003,897.5410233758241
294,36,2003,955.4494741036872
295,37,2003,1020.7771376506298
296,38,2003,1094.520586157017
297,39,2003,1177.8411551713411
298,40,2003,1272.094299801231
299,41,2003,1378.8647811185565
300,42,2003,1500.0089224375731
301,43,2003,1637.7054587111845
302,44,2003,1794.5168546961393
303,45,2003,1973.4634063755989
304,46,2003,2178.112987809362
305,47,2003,2412.6899906278372
306,48,2003,2682.2078621643236
307,49,2003,2992.6307272122917
308,50,2003,3351.0709371350763
309,51,2003,3166.086617929382
310,52,2003,3555.1508983652557
311,53,2003,3975.168339901989
312,54,2003,4426.039132215732
313,55,2003,4907.239028361147
314,56,2003,5417.780613427174
