,Age,year,qx_male
0,0,2000,146454.91640686497
1,1,2000,216872.56883085254
2,2,2000,297522.6721240703
3,3,2000,380756.72867136414
4,4,2000,457703.7720550174
5,5,2000,520388.9725927978
6,6,2000,563476.3231473985
7,7,2000,585092.5357647768
8,8,2000,586640.5064484483
9,9,2000,571893.874194266
10,10,2000,545823.2812198113
11,11,2000,513545.8044808522
12,12,2000,479616.52545667393
13,13,2000,447707.3455480791
14,14,2000,420607.23088810826
15,15,2000,400441.4152047467
16,16,2000,389025.6918207904
17,17,2000,388321.9394442188
18,18,2000,401030.33542223147
19,19,2000,431451.0011365369
20,20,2000,486913.7061169739
21,21,2000,442418.22669440735
22,22,2000,445577.18231704616
23,23,2000,448466.6147618629
24,24,2000,451081.0028300143
25,25,2000,453415.3300013173
26,26,2000,455465.1004717813
27,27,2000,457226.3535805896
28,28,2000,458695.6765617517
29,29,2000,459870.2155629514
30,30,2000,460747.6848818011
31,31,2000,461326.37437765993
32,32,2000,461605.15502537787
33,33,2000,461583.4825857183
34,34,2000,461261.39937575866
35,35,2000,460639.53413120884
36,36,2000,459719.099961272
37,37,2000,458501.89040536195
38,38,2000,456990.27360961615
39,39,2000,455187.18464967125
40,40,2000,453096.1160345372
41,41,2000,450721.1064345737
42,42,2000,448066.72768448835
43,43,2000,445138.07011989824
44,44,2000,441940.7263132786
45,45,2000,438480.77328202344
46,46,2000,434764.7532478287
47,47,2000,430799.6530326396
48,48,2000,426592.88218194863
49,49,2000,422152.24991126463
50,50,2000,417485.9409760603
51,51,2000,412602.49056945293
52,52,2000,407510.75835520285
53,53,2000,402219.90174639947
54,54,2000,396739.3485423526
55,55,2000,391078.7690377635
56,56,2000,385248.04771918984
57,57,2000,379257.2546641704
58,58,2000,373116.61675808596
59,59,2000,366836.4888430061
60,60,2000,360427.32491131703
61,61,2000,353899.64945495647
62,62,2000,347264.02907852194
63,63,2000,340531.0444814948
64,64,2000,333711.2629112799
65,65,2000,326815.2111847493
66,66,2000,300698.44804065593
67,67,2000,292835.37157967326
68,68,2000,282994.3458254627
69,69,2000,271390.0119612658
70,70,2000,258268.73716093728
71,71,2000,243899.94086004863
72,72,2000,228566.94740907737
73,73,2000,212557.79612873492
74,74,2000,196156.41968342543
75,75,2000,179634.55840150532
76,76,2000,163244.71593686478
77,77,2000,147214.38584874402
78,78,2000,131741.69525944116
79,79,2000,116992.52681167037
80,80,2000,103099.09936920392
81,81,2000,90159.91615053023
82,82,2000,78240.92999473152
83,83,2000,67377.73166373829
84,84,2000,57578.539559928526
85,85,2000,48827.757770711934
86,0,2001,146718.08911773263
87,1,2001,217327.88667152612
88,2,2001,298219.9033696162
89,3,2001,381721.9603432589
90,4,2001,458930.5794408315
91,5,2001,521838.5478326138
92,6,2001,565086.0749445114
93,7,2001,586789.4817286524
94,8,2001,588354.7727712817
95,9,2001,573568.7284598994
96,10,2001,547420.2416439712
97,11,2001,515045.2902055985
98,12,2001,481015.58535338525
99,13,2001,449016.20467459335
100,14,2001,421846.0611169278
101,15,2001,401638.2608330043
102,16,2001,390216.1428702272
103,17,2001,389551.1034005027
104,18,2001,402358.03416283376
105,19,2001,432962.1452612427
106,20,2001,488738.0649411907
107,21,2001,444399.05261720106
108,22,2001,447580.64939526404
109,23,2001,450497.24951836
110,24,2001,453143.3902059662
111,25,2001,455514.09438804834
112,26,2001,457604.8863018381
113,27,2001,459411.8055710431
114,28,2001,460931.4197055087
115,29,2001,462160.83496610535
116,30,2001,463097.7055467141
117,31,2001,463740.2410325304
118,32,2001,464087.212101484
119,33,2001,464137.954443382
120,34,2001,463892.3708792653
121,35,2001,463350.9316715333
122,36,2001,462514.6730234329
123,37,2001,461385.19377463445
124,38,2001,459964.6503076246
125,39,2001,458255.74968764087
126,40,2001,456261.74106669443
127,41,2001,453986.405389879
128,42,2001,451434.04344961897
129,43,2001,448609.4623406795
130,44,2001,445517.9603756433
131,45,2001,442165.3105271056
132,46,2001,438557.74246899434
133,47,2001,434701.9232951975
134,48,2001,430604.93699899747
135,49,2001,426274.2628016583
136,50,2001,421717.7524229118
137,51,2001,416943.60638991056
138,52,2001,411960.34948458476
139,53,2001,406776.8054321001
140,54,2001,401402.0709353894
141,55,2001,395845.4891623776
142,56,2001,390116.6227936684
143,57,2001,384225.2267390137
144,58,2001,378181.22063088283
145,59,2001,371994.6612029195
146,60,2001,365675.71465997933
147,61,2001,359234.6291448431
148,62,2001,352681.70740457193
149,63,2001,346027.2797568964
150,64,2001,339281.67745393445
151,65,2001,332455.20653706143
152,66,2001,301456.22567557445
153,67,2001,295194.5029642677
154,68,2001,286716.74523320934
155,69,2001,276222.23408163886
156,70,2001,263952.02157585707
157,71,2001,250179.73899460267
158,72,2001,235201.48591965795
159,73,2001,219325.3194875113
160,74,2001,202860.86065434743
161,75,2001,186109.4990785768
162,76,2001,169355.6149710954
163,77,2001,152859.1512103633
164,78,2001,136849.76964961167
165,79,2001,121522.71988841394
166,80,2001,107036.44469683523
167,81,2001,93511.85080062573
168,82,2001,81033.09255569593
169,83,2001,69649.6531739747
170,84,2001,59379.46579057865
171,85,2001,50212.79515864906
172,0,2002,147069.98251781097
173,1,2002,217907.98365354937
174,2,2002,299081.5736940792
175,3,2002,382891.5645303073
176,4,2002,460398.3716413709
177,5,2002,523559.2187322818
178,6,2002,566988.313221596
179,7,2002,588790.617134355
180,8,2002,590375.523046756
181,9,2002,575544.2353181252
182,10,2002,549305.8044781348
183,11,2002,516817.2436893439
184,12,2002,482668.9292614549
185,13,2002,450560.840392303
186,14,2002,423303.1582838212
187,15,2002,403037.7748185621
188,16,2002,391596.12597695173
189,17,2002,390959.3683359133
190,18,2002,403857.05864553654
191,19,2002,434639.0673192628
192,20,2002,490723.7568409412
193,21,2002,446651.89908449136
194,22,2002,449810.4087520251
195,23,2002,452710.08156939835
196,24,2002,455345.6376973817
197,25,2002,457712.25820902525
198,26,2002,459805.5997697875
199,27,2002,461621.8079188463
200,28,2002,463157.5288947489
201,29,2002,464409.91995461064
202,30,2002,465376.6581424274
203,31,2002,466055.94746865024
204,32,2002,466446.5244699556
205,33,2002,466547.66212512454
206,34,2002,466359.17211004003
207,35,2002,465881.4053820187
208,36,2002,465115.25109093223
209,37,2002,464062.13382185105
210,38,2002,462724.00918117765
211,39,2002,461103.3577454133
212,40,2002,459203.17739876185
213,41,2002,457026.9740927084
214,42,2002,454578.7510674304
215,43,2002,451862.99658142746
216,44,2002,448884.67020200344
217,45,2002,445649.1877152238
218,46,2002,442162.40471958206
219,47,2002,438430.5989729465
220,48,2002,434460.45156724105
221,49,2002,430259.0270098385
222,50,2002,425833.75229474466
223,51,2002,421192.3950502585
224,52,2002,416343.0408530173
225,53,2002,411294.0698010061
226,54,2002,406054.1324403508
227,55,2002,400632.125142433
228,56,2002,395037.16502910876
229,57,2002,389278.5645445327
230,58,2002,383365.80577234173
231,59,2002,377308.5145966973
232,60,2002,371116.4348049503
233,61,2002,364799.4022285038
234,62,2002,358367.31901676056
235,63,2002,351830.12813697703
236,64,2002,345197.78819029103
237,65,2002,338480.24863128015
238,66,2002,303492.9419071913
239,67,2002,298586.8316869508
240,68,2002,291257.6329701176
241,69,2002,281688.1587920479
242,70,2002,270112.37200431124
243,71,2002,256805.88537552542
244,72,2002,242075.0768981225
245,73,2002,226245.41913457535
246,74,2002,209649.64002157212
247,75,2002,192616.30950756534
248,76,2002,175459.38563744514
249,77,2002,158469.16199219943
250,78,2002,141904.94459823077
251,79,2002,125989.66054512953
252,80,2002,110906.47276616452
253,81,2002,96797.3551701412
254,82,2002,83763.47748467872
255,83,2002,71867.16564308482
256,84,2002,61135.14483695729
257,85,2002,51562.73959851667
258,0,2003,147428.9503370677
259,1,2003,218495.71753229428
260,2,2003,299951.0994106305
261,3,2003,384069.1942586919
262,4,2003,461874.61364645575
263,5,2003,525289.1459129442
264,6,2003,568900.8629751483
265,7,2003,590803.0157706834
266,8,2003,592407.9450556289
267,9,2003,577530.8923313058
268,10,2003,551200.8187947174
269,11,2003,518595.67649886524
270,12,2003,484324.5096445735
271,13,2003,452102.21579731663
272,14,2003,424750.179068031
273,15,2003,404418.82882577693
274,16,2003,392947.1467461822
275,17,2003,392325.01730141736
276,18,2003,405294.83616792224
277,19,2003,436227.9194236601
278,20,2003,492580.5724584449
279,21,2003,449117.1926960954
280,22,2003,452162.13279378857
281,23,2003,454958.2046228342
282,24,2003,457500.5482338581
283,25,2003,459784.727029895
284,26,2003,461806.7406659549
285,27,2003,463563.0367223449
286,28,2003,465050.5211040466
287,29,2003,466266.56712356274
288,30,2003,467209.0232298897
289,31,2003,467876.2193518027
290,32,2003,468266.9718292689
291,33,2003,468380.58691259875
292,34,2003,468216.86281487247
293,35,2003,467776.0903091301
294,36,2003,467059.051867855
295,37,2003,466067.01934832026
296,38,2003,464801.75023336813
297,39,2003,463265.48244319385
298,40,2003,461460.9277395569
299,41,2003,459391.26374963677
300,42,2003,457060.1246423687
301,43,2003,454471.5904955513
302,44,2003,451630.1753972685
303,45,2003,448540.814330192
304,46,2003,445208.8488920965
305,47,2003,441640.01191040943
306,48,2003,437840.41101280635
307,49,2003,433816.5112197272
308,50,2003,429575.11662821914
309,51,2003,425123.35125967715
310,52,2003,420468.639146873
311,53,2003,415618.68373805686
312,54,2003,410581.4466979757
313,55,2003,405365.1261872662
314,56,2003,399978.13470293325
315,57,2003,394429.07656342816
316,58,2003,388726.7251222905
317,59,2003,382879.9997943413
318,60,2003,376897.942978023
319,61,2003,370789.69695676473
320,62,2003,364564.48086107336
321,63,2003,358231.5677715795
322,64,2003,351800.2620414046
