,Age,year,qx_male
0,0,2000,96565.11000000083
1,1,2000,381609.8999999996
2,2,2000,517844.9338148898
3,3,2000,549502.5915933325
4,4,2000,520500.1035751084
5,5,2000,474754.6999999989
6,6,2000,447715.7558504768
7,7,2000,440961.2250797831
8,8,2000,447601.2063838504
9,9,2000,460745.7984586114
10,10,2000,473505.09999999905
11,11,2000,480443.42487143446
12,12,2000,481941.94760629075
13,13,2000,479836.05790542933
14,14,2000,475961.14546971174
15,15,2000,472152.59999999957
16,16,2000,469858.4046637809
17,17,2000,468976.9164950503
18,18,2000,469019.0859944291
19,19,2000,469495.8636625384
20,20,2000,469918.19999999984
21,21,2000,469900.5764734398
22,22,2000,469471.5984135066
23,23,2000,468763.4021168533
24,24,2000,467908.1238801332
25,25,2000,467037.9
26,26,2000,466256.6990424589
27,27,2000,465555.8186509233
28,28,2000,464898.3887381583
29,29,2000,464247.5392169288
30,30,2000,463566.40000000055
31,31,2000,462825.09295672516
32,32,2000,462021.7077828019
33,33,2000,461161.32613051595
34,34,2000,460249.0296521531
35,35,2000,459289.89999999915
36,36,2000,458286.56833064085
37,37,2000,457231.86381786945
38,38,2000,456116.16513977724
39,39,2000,454929.85097445635
40,40,2000,453663.29999999976
41,41,2000,452306.78012070816
42,42,2000,450850.11614571774
43,43,2000,449283.022110373
44,44,2000,447595.21205001883
45,45,2000,445776.39999999997
46,46,2000,443816.3151865252
47,47,2000,441704.74759925914
48,48,2000,439431.5024187304
49,49,2000,436986.3848254676
50,50,2000,434359.1999999997
51,51,2000,431538.0391331906
52,52,2000,428504.13745724555
53,53,2000,425237.016214705
54,54,2000,421716.1966481096
55,55,2000,417921.1999999998
56,56,2000,413828.3194807111
57,57,2000,409400.9361717579
58,58,2000,404599.2031224489
59,59,2000,399383.2733820932
60,60,2000,393713.30000000005
61,61,2000,387547.1493439642
62,62,2000,380833.5410557231
63,63,2000,373518.90809549985
64,64,2000,365549.6834235177
65,65,2000,356872.29999999993
66,66,2000,347438.00234343205
