year;age;sex;mx;qx;deaths;expo
2000;0;F;0.0424;0.04094;4094.381;96565.11
2000;1;F;0.00205;0.00816;782.6715;381609.9
2000;5;F;0.00069;0.00343;326.3848;474754.7
2000;10;F;0.00041;0.00204;193.8268;473505.1
2000;15;F;0.00078;0.00392;370.5158;472152.6
2000;20;F;0.0011;0.0055;517.9952;469918.2
2000;25;F;0.00135;0.00674;631.2045;467037.9
2000;30;F;0.00165;0.00822;765.4136;463566.4
2000;35;F;0.0021;0.01042;962.3511;459289.9
2000;40;F;0.0029;0.01442;1317.627;453663.3
2000;45;F;0.00422;0.02089;1880.528;445776.4
2000;50;F;0.00631;0.03108;2739.933;434359.2
2000;55;F;0.00938;0.0459;3920.829;417921.2
2000;60;F;0.01505;0.0727;5924.519;393713.3
2000;65;F;0.02528;0.11936;9020.583;356872.3
2000;70;F;0.04379;0.19845;13206.94;301589.6
2000;75;F;0.0758;0.32011;17076;225274.5
2000;80;F;0.12683;0.47927;17382.46;137055.2
2000;85;F;0.24917;1;18885.84;75796.23
2000;110;F;1;1;;
2000;0;M;0.04886;0.04695;4695.093;96092.5
2000;1;M;0.00205;0.00815;776.8279;379271.4
2000;5;M;0.00087;0.00435;411.1404;471565.9
2000;10;M;0.00051;0.00256;241.2594;469991.5
2000;15;M;0.00108;0.00539;505.8655;468214.9
2000;20;M;0.00152;0.00759;709.0804;465117.3
2000;25;M;0.00154;0.00769;712.9546;461541.3
2000;30;M;0.00181;0.00901;828.6451;457732.3
2000;35;M;0.00236;0.01171;1066.983;453062.4
2000;40;M;0.00346;0.01715;1544.716;446655.3
2000;45;M;0.00548;0.02705;2394.476;436980.1
2000;50;M;0.00872;0.04273;3679.767;422021.2
2000;55;M;0.01386;0.0671;5531.442;399234.4
2000;60;M;0.02161;0.10281;7906.057;365867
2000;65;M;0.03388;0.15678;10817.09;319291.8
2000;70;M;0.05419;0.23967;13943.93;257305.8
2000;75;M;0.08799;0.36133;15983.45;181658.9
2000;80;M;0.14846;0.53576;15135.99;101950.2
2000;85;M;0.2676;1;13115.23;49010.49
2000;110;M;1;1;;
2001;0;F;0.04041;0.03907;3907.232;96701.51
2001;1;F;0.00195;0.00775;745.0219;382472.4
2001;5;F;0.00065;0.00322;307.2364;475952.8
2001;10;F;0.00039;0.00196;186.3736;474739.4
2001;15;F;0.00071;0.00355;336.4664;473486.5
2001;20;F;0.001;0.00499;471.2852;471459.3
2001;25;F;0.00124;0.00619;582.342;468819.3
2001;30;F;0.00153;0.00764;714.1754;465597.5
2001;35;F;0.00196;0.00975;904.0424;461593.7
2001;40;F;0.00276;0.0137;1258.255;456261.9
2001;45;F;0.00406;0.02013;1823.075;448666.6
2001;50;F;0.00614;0.03028;2687.74;437528.5
2001;55;F;0.00915;0.04482;3857.581;421376.8
2001;60;F;0.01473;0.0712;5853.997;397505.6
2001;65;F;0.0249;0.11767;8985.903;360938.7
2001;70;F;0.0431;0.19562;13181.06;305824.1
2001;75;F;0.07491;0.31697;17179.18;229331.3
2001;80;F;0.1237;0.47089;17431.92;140924.1
2001;85;F;0.25535;1;19587.1;76707.05
2001;110;F;1;1;;
2001;0;M;0.04667;0.04491;4491.373;96239.08
2001;1;M;0.00194;0.00771;736.7693;380203.1
2001;5;M;0.00083;0.00416;394.2586;472854.5
2001;10;M;0.00049;0.00245;230.9965;471314.6
2001;15;M;0.00098;0.00491;462.0172;469665.8
2001;20;M;0.00139;0.00692;647.9515;466845.2
2001;25;M;0.0014;0.00698;649.0002;463580.8
2001;30;M;0.00165;0.0082;758.0239;460103.8
2001;35;M;0.00216;0.01077;986.4478;455808.8
2001;40;M;0.00321;0.01595;1446.022;449846
2001;45;M;0.00519;0.02564;2286.564;440689
2001;50;M;0.00839;0.04114;3575.673;426266.4
2001;55;M;0.01346;0.06525;5437.277;403986
2001;60;M;0.02105;0.10029;7812.251;371099.8
2001;65;M;0.03312;0.15356;10761.98;324909.1
2001;70;M;0.05274;0.234;13881.63;263222.5
2001;75;M;0.08554;0.35324;16051.94;187661.2
2001;80;M;0.14833;0.53576;15745.84;106151.4
2001;85;M;0.27097;1;13643.99;50351.96
2001;110;M;1;1;;
2002;0;F;0.03792;0.03674;3673.961;96882.71
2002;1;F;0.00182;0.00725;698.3806;383535.1
2002;5;F;0.00061;0.00305;291.4781;477407.4
2002;10;F;0.00038;0.00188;179.4544;476232.6
2002;15;F;0.00067;0.00332;316.2396;475045.3
2002;20;F;0.00094;0.00467;443.15;473141.9
2002;25;F;0.00116;0.00578;545.2234;470665.3
2002;30;F;0.00143;0.00713;668.9928;467648.2
2002;35;F;0.00184;0.00915;852.5648;463884.7
2002;40;F;0.00261;0.01296;1196.684;458834
2002;45;F;0.00389;0.01928;1756.889;451556.7
2002;50;F;0.00595;0.02933;2621.034;440753.4
2002;55;F;0.00888;0.04351;3775.131;424975.2
2002;60;F;0.01434;0.06938;5756.981;401554.8
2002;65;F;0.02441;0.11553;8921.357;365405.9
2002;70;F;0.04226;0.19219;13126.9;310608.8
2002;75;F;0.07379;0.313;17269.77;234049.1
2002;80;F;0.12172;0.46572;17653.59;145034.9
2002;85;F;0.25952;1;20252.21;78036.2
2002;110;F;1;1;;
2002;0;M;0.0438;0.04224;4223.846;96445.13
2002;1;M;0.00186;0.00742;711.0923;381348
2002;5;M;0.00079;0.00395;375.373;474384.5
2002;10;M;0.00047;0.00234;221.2746;472895.8
2002;15;M;0.00091;0.00455;429.7022;471346.7
2002;20;M;0.00129;0.00641;603.076;468729
2002;25;M;0.0013;0.0065;607.5327;465679.6
2002;30;M;0.00153;0.00762;707.7798;462428.4
2002;35;M;0.00201;0.00999;920.2497;458420.9
2002;40;M;0.003;0.0149;1358.572;452837.4
2002;45;M;0.00489;0.02417;2171.421;444183.3
2002;50;M;0.00802;0.03935;3449.653;430365.2
2002;55;M;0.01299;0.06304;5308.88;408734.9
2002;60;M;0.02039;0.09729;7677.382;376524.1
2002;65;M;0.03224;0.14976;10667.88;330923.5
2002;70;M;0.05136;0.22861;13845.97;269575.6
2002;75;M;0.08371;0.3472;16221.37;193769.2
2002;80;M;0.14822;0.53577;16340.27;110246.6
2002;85;M;0.27405;1;14158.67;51665.41
2002;110;M;1;1;;
2003;0;F;0.03526;0.03423;3423.332;97085.63
2003;1;F;0.00174;0.00692;668.4012;384616.1
2003;5;F;0.0006;0.00299;286.2947;478825.6
2003;10;F;0.00036;0.0018;172.1387;477679.5
2003;15;F;0.00066;0.00327;312.1963;476520.3
2003;20;F;0.00092;0.0046;437.3075;474641.5
2003;25;F;0.00111;0.00552;522.6578;472234.5
2003;30;F;0.00134;0.0067;631.1735;469367.2
2003;35;F;0.00174;0.00866;809.962;465803
2003;40;F;0.00245;0.01218;1129.745;461021.1
2003;45;F;0.00368;0.01823;1670.337;454123.6
2003;50;F;0.00566;0.02793;2511.639;443807.2
2003;55;F;0.00848;0.04157;3634.634;428656.6
2003;60;F;0.01374;0.06657;5577.903;406034.8
2003;65;F;0.02358;0.11178;8742.89;370798.8
2003;70;F;0.04104;0.18715;13001.2;316799.1
2003;75;F;0.07196;0.30651;17307.85;240520.8
2003;80;F;0.12149;0.46556;18231.49;150069.3
2003;85;F;0.26009;1;20928.85;80466.84
2003;110;F;1;1;;
2003;0;M;0.04095;0.03958;3958.116;96656.7
2003;1;M;0.00177;0.00704;675.7079;382502
2003;5;M;0.00076;0.00381;363.1355;475923
2003;10;M;0.00044;0.00222;211.0056;474487.7
2003;15;M;0.00087;0.00435;412.7018;473003.8
2003;20;M;0.00123;0.00615;580.1299;470490.3
2003;25;M;0.00127;0.00634;594.6707;467529.8
2003;30;M;0.00147;0.00734;684.1354;464367.4
2003;35;M;0.0019;0.00944;873.5519;460531.6
2003;40;M;0.00283;0.01405;1287.624;455235.5
2003;45;M;0.00457;0.02263;2044.866;447063.3
2003;50;M;0.00755;0.03711;3277.312;433985.3
2003;55;M;0.01232;0.05988;5091.922;413342
2003;60;M;0.01947;0.09309;7442.021;382292.3
2003;65;M;0.03106;0.14472;10492.37;337757.9
2003;70;M;0.05021;0.22408;13895.52;276760.8
2003;75;M;0.08289;0.34452;16576.61;199985.5
2003;80;M;0.14806;0.53563;16892.9;114093.8
2003;85;M;0.27621;1;14645.69;53024.16
2003;110;M;1;1;;
2004;0;F;0.03303;0.03213;3212.505;97258.84
2004;1;F;0.00163;0.00648;626.7058;385565.5
2004;5;F;0.00059;0.00296;284.8125;480091.9
2004;10;F;0.00036;0.0018;172.2001;478949.4
2004;15;F;0.00066;0.00331;317.0591;477780.1
2004;20;F;0.00092;0.0046;439.0908;475880.6
2004;25;F;0.00107;0.00535;507.9744;473502.2
2004;30;F;0.00127;0.00632;597.2642;470757.2
2004;35;F;0.00165;0.00822;771.7567;467371.2
2004;40;F;0.00226;0.01125;1046.688;462880.8
2004;45;F;0.00335;0.01661;1528.735;456535.8
2004;50;F;0.0051;0.0252;2280.192;447139.4
2004;55;F;0.00766;0.03765;3321.102;433347.4
2004;60;F;0.01246;0.06054;5139.354;412592.9
2004;65;F;0.02149;0.10236;8163.695;379930.1
2004;70;F;0.03858;0.17693;12666.66;328317.7
2004;75;F;0.06771;0.29125;17161.8;253457.1
2004;80;F;0.12196;0.46752;19524.63;160092
2004;85;F;0.2598;1;22237.77;85594.16
2004;110;F;1;1;;
2004;0;M;0.03847;0.03726;3725.764;96844.84
2004;1;M;0.00168;0.00671;645.701;383507
2004;5;M;0.00073;0.00363;347.4312;477274.1
2004;10;M;0.00044;0.00218;208.0563;475885.4
2004;15;M;0.00086;0.00429;408.1452;474419.8
2004;20;M;0.00121;0.00602;570.3173;471944.1
2004;25;M;0.00126;0.00628;591.2509;469015.6
2004;30;M;0.00144;0.00718;671.7104;465888.3
2004;35;M;0.00181;0.00901;836.6178;462172.1
2004;40;M;0.00268;0.01333;1226.635;457110.4
2004;45;M;0.0042;0.02077;1885.53;449464.6
2004;50;M;0.00684;0.03365;2991.197;437480.9
2004;55;M;0.01106;0.05391;4630.513;418704.8
2004;60;M;0.01774;0.08518;6921.566;390170.7
2004;65;M;0.02904;0.13596;10106.85;348025.4
2004;70;M;0.04926;0.22044;14159.41;287436.4
2004;75;M;0.08251;0.34337;17193.55;208370.9
2004;80;M;0.14796;0.5356;17610.52;119019.3
2004;85;M;0.27823;1;15269.24;54880.38
2004;110;M;1;1;;
2005;0;F;0.03136;0.03055;3054.539;97388.93
2005;1;F;0.00151;0.00601;582.2686;386310.1
2005;5;F;0.00056;0.00278;267.4317;481147.4
2005;10;F;0.00033;0.00164;157.3784;480085.4
2005;15;F;0.00065;0.00323;310.3066;478971.2
2005;20;F;0.00091;0.00454;434.381;477095.9
2005;25;F;0.00103;0.00515;490.5177;474768.8
2005;30;F;0.00119;0.00591;559.7177;472163.4
2005;35;F;0.00156;0.00776;730.4558;468972.2
2005;40;F;0.00205;0.01019;952.0245;464807.6
2005;45;F;0.00296;0.01471;1359.762;459110.6
2005;50;F;0.00442;0.02185;1990.946;450842.8
2005;55;F;0.00664;0.0327;2913.599;438780.8
2005;60;F;0.01086;0.05298;4566.698;420455.4
2005;65;F;0.01883;0.09026;7367.514;391238.3
2005;70;F;0.03549;0.1639;12171.77;342991.7
2005;75;F;0.06228;0.2713;16845.03;270469.6
2005;80;F;0.12257;0.46991;21261.32;173459.4
2005;85;F;0.25926;1;23984.34;92511.84
2005;110;F;1;1;;
2005;0;M;0.03654;0.03544;3543.756;96992.73
2005;1;M;0.0016;0.00637;614.1396;384313.8
2005;5;M;0.00068;0.00341;326.5637;478394.1
2005;10;M;0.00039;0.00197;188.0215;477107.6
2005;15;M;0.00082;0.00409;389.9763;475734.8
2005;20;M;0.00116;0.00579;549.8417;473358.8
2005;25;M;0.00123;0.00612;577.675;470514.9
2005;30;M;0.00139;0.00693;650.2731;467469.1
2005;35;M;0.00171;0.0085;791.9589;463914.1
2005;40;M;0.00253;0.01255;1159.265;459120.2
2005;45;M;0.00376;0.01866;1701.553;452074.5
2005;50;M;0.00598;0.02951;2641.33;441400.3
2005;55;M;0.00948;0.04637;4027.666;424989.1
2005;60;M;0.01556;0.07511;6221.876;399774.9
2005;65;M;0.02645;0.12459;9545.715;360945.6
2005;70;M;0.04821;0.2164;14514.11;301054.4
2005;75;M;0.08216;0.34228;17988.86;218950.8
2005;80;M;0.14771;0.53516;18499.24;125238.8
2005;85;M;0.28002;1;16068.18;57381.82
2005;110;M;1;1;;
2006;0;F;0.03021;0.02945;2944.978;97478.05
2006;1;F;0.00142;0.00565;548.2843;386834.6
2006;5;F;0.00053;0.00263;253.5668;481899.8
2006;10;F;0.00033;0.00165;158.5275;480869.5
2006;15;F;0.00065;0.00323;310.0751;479755.2
2006;20;F;0.00091;0.00453;433.8903;477876.6
2006;25;F;0.00101;0.00502;478.7194;475576.3
2006;30;F;0.00112;0.00559;530.1088;473076.8
2006;35;F;0.00148;0.00739;697.0621;470040.9
2006;40;F;0.00187;0.00931;872.1001;466147.9
