;2010;2011;2012;2013;2014
0;8912;7808;7366;6670;7424
1;5952,657458;5291,547337;4973,211893;4497,304629;4993,635958
2;3741,253237;3389,833776;3173,197493;2867,685726;3166,974658
3;2169,920287;2017,546546;1882,177148;1702,814508;1857,89538
4;1130,791558;1089,372878;1016,371201;924,3621938;980,2774013
5;516;520;492;454;448
6;222,6085394;227,7055377;228,9848714;217,0788769;178,8904834
7;167,4000047;145,1287008;162,0510703;153,6687037;106,5682738
8;272,0872002;208,499095;229,6248336;207,5190921;168,6008226
9;458,3829305;354,0463262;370,1323979;322,3796537;302,5555809
10;648;518;522;442;446
11;779,2443844;649,0865126;636,2086218;522,2518634;549,5861087
12;856,7947446;746,0194213;713,9582254;567,4954592;616,3042463
13;901,9229125;820,0090737;769,0035181;594,2131232;662,2293295
14;935,9007203;882,2658174;815,0992072;618,8871915;703,4362751
15;980;944;866;658;756
16;1049,805923;1013,564412;931,6366416;723,1456695;831,1810817
17;1138,157017;1087,881614;1006,644028;806,3654596;920,982741
18;1232,20515;1161,01661;1081,833094;894,8124151;1012,593859
19;1319,102188;1227,034404;1148,014773;975,6395804;1093,203319
20;1386;1280;1196;1036;1150
21;1423,627924;1315,66384;1219,436812;1066,701459;1174,233564
22;1437,025188;1336,518123;1223,321662;1073,170702;1173,39679
23;1434,808489;1346,740485;1215,488105;1064,489216;1159,043233
24;1425,594527;1350,508565;1203,769699;1049,738487;1142,72645
25;1418;1352;1196;1038;1136
26;1419,05838;1354,612228;1198,360111;1036,416495;1147,340661
27;1429,470232;1358,621896;1210,421326;1044,375731;1172,9181
28;1448,352894;1363,525449;1230,102485;1059,326719;1205,82521
29;1474,823704;1368,819335;1255,322429;1078,718471;1239,15488
30;1508;1374;1284;1100;1266
31;1546,730556;1378,991246;1314,130744;1121,168559;1281,363793
32;1588,789884;1385,426294;1344,017036;1142,414373;1287,890809
33;1631,683935;1395,365719;1372,037955;1164,475907;1290,135928
34;1672,918657;1410,870096;1396,572583;1188,091628;1292,654031
35;1710;1434;1416;1214;1300
36;1742,291398;1467,118787;1430,252912;1243,501267;1316,612166
37;1776,586231;1513,800928;1445,478531;1280,142776;1346,462665
38;1821,535365;1577,923676;1469,377694;1328,033652;1393,407079
39;1885,789666;1663,364283;1509,651238;1391,283018;1461,300996
40;1978;1774;1574;1474;1554
41;2104,056357;1911,984996;1667,983009;1578,995825;1673,904177
42;2258,805225;2072,581105;1788,592058;1703,890138;1817,59162
43;2434,332215;2249,327076;1930,677131;1845,004687;1980,184923
44;2622,72294;2435,761659;2089,088213;1998,661221;2156,806679
45;2816,063013;2625,423604;2258,675287;2161,181487;2342,579483
46;3006,438044;2811,851661;2434,288338;2328,887234;2532,625928
47;3185,933646;2988,584579;2610,777351;2498,100211;2722,068608
48;3346,635432;3149,161108;2782,992309;2665,142165;2906,030118
49;3480,629012;3287,119999;2945,783198;2826,334845;3079,63305
50;3580;3396;3094;2978;3238
51;3641,389907;3471,931279;3224,522923;3118,453984;3379,992874
52;3679,663847;3521,409668;3342,353065;3253,991584;3519,430835
53;3714,242834;3553,522418;3454,521745;3392,902192;3673,872359
54;3764,54788;3577,356779;3568,060284;3543,475199;3860,875922
55;3850;3602;3690;3714;4098
56;3981,362589;3634,17611;3823,501715;3906,925749;4391,571271
57;4134,768575;3671,156247;3956,24425;4101,340654;4702,98922
58;4277,693265;3707,84833;4072,035928;4270,492684;4982,421534
59;4377,611971;3739,160275;4154,68507;4387,629809;5180,035898
60;4402;3760;4188;4426;5246
61;4334,279736;3769,460283;4163,678217;4370,691019;5150,906041
62;4221,661854;3783,373344;4104,973935;4254,149801;4947,044284
63;4127,304105;3821,756263;4043,030544;4120,663073;4707,129506
64;4114,364237;3904,626122;4008,991435;4014,517564;4503,876486
65;4246;4052;4034;3980;4410
66;4560,574467;4275,086758;4139,001416;4049,030175;4476,628564
67;4997,272008;4549,862377;4304,14801;4204,060142;4668,545643
68;5470,482315;4843,494617;4499,393896;4415,175022;4928,948441
69;5894,595082;5123,151238;4694,693188;4652,459935;5201,034159
70;6184;5356;4860;4886;5428
71;6278,430394;5516,656683;4973,132119;5090,660283;5567,651702
72;6218,994113;5609,529147;5043,362025;5260,42563;5636,229142
73;6072,142634;5646,473268;5087,825872;5394,060837;5664,580731
74;5904,327437;5639,344927;5123,659812;5490,330696;5683,55488
75;5782;5600;5168;5548;5724
76;5750,119955;5536,558508;5229,654108;5564,552695;5804,652626
77;5767,679541;5442,197036;5284,11589;5532,349336;5895,801787
78;5772,17915;5306,35631;5298,550617;5442,469629;5955,624635
79;5701,119172;5118,477055;5240,123563;5285,993282;5942,298322
80;5492;4868;5076;5054;5814
81;5104,465785;4549,909284;4785,627448;4743,128936;5542,905793
82;4586,735723;4181,36271;4397,582416;4372,257025;5157,18771
83;4009,172768;3785,061494;3952,723659;3965,820645;4699,016731
84;3442,139875;3383,706851;3491,909935;3548,256177;4210,563834
85;2956;3000;3056;3144;3734
86;2604,560903;2652,380354;2678,9401;2774,03556;3304,3642
87;2375,409567;2342,240124;2367,026448;2445,534565;2928,167372
88;2239,577779;2066,709716;2119,642745;2162,21579;2604,788443
89;2168,097327;1822,919539;1936,172695;1927,79801;2333,606343
90;2132;1608;1816;1746;2114
91;2095,706602;1417,417298;1755,556151;1619,144825;1942,085405
92;1997,19401;1239,980795;1739,463794;1543,972716;1800,926802
93;1767,828117;1062,835642;1749,39336;1515,828194;1670,325496
94;1338,974815;873,1269933;1767,015285;1530,055782;1530,082794
95;285;355;510;624;579
96;285;355;510;624;579
97;285;355;510;624;579
98;285;355;510;624;579
99;285;355;510;624;579
100;285;355;510;624;579
101;285;355;510;624;579
102;285;355;510;624;579
103;285;355;510;624;579
104;285;355;510;624;579
105;285;355;510;624;579
106;285;355;510;624;579
107;285;355;510;624;579
108;285;355;510;624;579
109;285;355;510;624;579
110;285;355;510;624;579
