Year,Age,Female,Male,Total
1816,0,76332.26,94997.54,171329.8
1816,1,17861.24,18659.46,36520.7
1816,2,11924.14,12466.99,24391.13
1816,3,7738.2,8083.03,15821.23
1816,4,5303.44,5507.6,10811.04
1816,5,4337.85,4452.23,8790.08
1816,6,3713.46,3763.08,7476.54
1816,7,3148.26,3151.67,6299.93
1816,8,2642.28,2618.03,5260.31
1816,9,2195.49,2162.13,4357.62
1816,10,1818.15,1788.04,3606.19
1816,11,1551.24,1511.93,3063.17
1816,12,1404.98,1337.84,2742.82
1816,13,1379.41,1265.77,2645.18
1816,14,1474.51,1295.73,2770.24
1816,15,1663.19,1417,3080.19
1816,16,1837.18,1586.74,3423.92
1816,17,1969.39,1794.24,3763.63
1816,18,2059.84,2039.5,4099.34
1816,19,2108.51,2322.51,4431.02
1816,20,2121.74,2616.84,4738.58
1816,21,2124.77,2816.75,4941.52
1816,22,2123.92,2895.81,5019.73
1816,23,2119.2,2854,4973.2
1816,24,2110.59,2691.34,4801.93
1816,25,2099.81,2437.77,4537.58
1816,26,2093.59,2213.1,4306.69
1816,27,2093.63,2047.26,4140.89
1816,28,2099.94,1940.26,4040.2
1816,29,2112.51,1892.1,4004.61
1816,30,2130.82,1892.94,4023.76
1816,31,2152.75,1903.36,4056.11
1816,32,2177.79,1913.51,4091.3
1816,33,2205.93,1923.39,4129.32
1816,34,2237.18,1933.01,4170.19
1816,35,2270.58,1941.83,4212.41
1816,36,2302.3,1947.75,4250.05
1816,37,2331.41,1950.25,4281.66
1816,38,2357.89,1949.33,4307.22
1816,39,2381.74,1944.98,4326.72
1816,40,2402.79,1941.41,4344.2
1816,41,2420.29,1955.42,4375.71
1816,42,2434.06,1991.21,4425.27
1816,43,2444.1,2048.77,4492.87
1816,44,2450.42,2128.12,4578.54
1816,45,2457.12,2226.21,4683.33
1816,46,2480.68,2330.9,4811.58
1816,47,2525.22,2439.17,4964.39
1816,48,2590.72,2550.99,5141.71
1816,49,2677.2,2666.38,5343.58
1816,50,2778,2781.68,5559.68
1816,51,2866.56,2882.21,5748.77
