;2010;2011;2012;2013;2014
0;1632147;1652231;1684288;1722888;1755374
1;1625700,111;1645200,217;1667265,694;1690329,136;1710633,055
2;1611915,728;1629795,714;1645732,231;1660070,87;1673892,009
3;1593720,89;1609092,903;1621711,321;1632380,836;1643915,636
4;1574042,634;1586167,195;1597226,674;1607526,668;1619468,709
5;1555808;1564094;1574302;1585776;1599316
6;1541569,829;1545593,281;1554739,697;1567371,742;1582362,669
7;1532384,18;1531963,204;1539456,912;1552457,916;1568075,416
8;1528932,917;1524146,487;1529149,478;1541153,818;1556061,33
9;1531897,903;1523085,846;1524513,23;1533578,747;1545927,495
10;1541961;1529724;1526244;1529852;1537281
11;1558920,725;1544116,923;1534427,404;1529920,407;1529936,27
12;1579042,206;1562773,62;1546708,184;1533040,923;1524537,085
13;1597707,224;1581316,357;1560120,862;1538298,035;1521934,566
14;1610297,562;1595367,396;1571699,959;1544776,232;1522979,831
15;1612195;1600549;1578480;1551560;1528524
16;1600273,176;1593794,42;1578208,821;1557643,527;1538671,372
17;1577373,148;1577280,85;1571487,519;1561659,801;1550538,963
18;1547827,833;1554496,47;1559630,507;1562151,512;1560496,967
19;1515970,145;1528929,459;1543952,197;1557661,349;1564915,581
20;1486133;1504068;1525767;1546732;1560165
21;1461400,773;1482412,661;1506088,944;1528478,598;1543850,611
22;1439863,681;1462513,572;1484730,515;1504306,049;1518518,569
23;1418363,402;1441933,253;1461203,815;1476191,701;1487950,221
24;1393741,616;1418234,222;1435020,942;1446112,901;1455926,916
25;1362840;1388979;1405694;1416047;1426230
26;1323561,894;1352539,815;1372928,37;1387399,424;1401511,337
27;1278057,289;1310527,741;1337202,563;1359287,915;1379904,859
28;1229537,837;1265363,558;1299188,371;1330258,294;1358415,011
29;1181215,19;1219468,051;1259557,586;1298856,382;1334046,243
30;1136301;1175262;1218982;1263628;1303803
31;1097358,618;1134753,413;1178201,735;1223754,491;1265715,776
32;1064358,187;1098299,193;1138230,232;1180959,285;1221919,244
33;1036621,546;1065843,466;1100149,262;1137601,333;1175574,125
34;1013470,537;1037330,359;1065040,594;1096039,587;1129841,137
35;994227;1012704;1033986;1058633;1087881
36;978246,1686;991854,9559;1007810,785;1027249,877;1052238,167
