"","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882"
"X1",0.230884138792535,0.228597434105361,0.230386413219102,0.249831249375173,0.224842998334863,0.226016222119495,0.254123148125826,0.234565676492313,0.249018275930538,0.238695946842097,0.236454616978601,0.231596795802776,0.24752112823099,0.227345589638832,0.221802838145765,0.217103714929903,0.232871383472421,0.226607646141258,0.273971768781966,0.218694194669888,0.206194590690549,0.213698464561091,0.217581009434786,0.20333566920303,0.195577272249065,0.192689869572613,0.210593975258867,0.200644975178703,0.194535164363879,0.176302666261462,0.208235017471928,0.199473442666147,0.205447755218136,0.22670700367278,0.181388194340328,0.203449650273475,0.207701385523307,0.191663184283573,0.230213455490315,0.215408002606452,0.20844656862305,0.233663685716109,0.228840389501028,0.283560459026542,0.18361957103762,0.230043726611728,0.209533987210775,0.229060050443477,0.220729344674901,0.229242591282633,0.1963973198183,0.21534713270693,0.24320360995345,0.228794218898482,0.245540805977519,0.268801807690635,0.217727054599316,0.221785617884798,0.202698538249059,0.199310400126273,0.195118405333561,0.199480043330608,0.2140241222318,0.20044201932471,0.212706899399534,0.203180649483383,0.210503258661087
"X2",0.0388784947006823,0.0417001082835121,0.0432226694257214,0.0465395501222444,0.04197372436672,0.0416254984340059,0.0449173059123555,0.0416280599207376,0.043700875344888,0.0442368429264856,0.0452186778762479,0.0418865554252841,0.0459080068563811,0.0411496010647235,0.0407431641791681,0.0411686099173233,0.0454544119451435,0.0424928238646917,0.0510856685066538,0.0407947621432913,0.0362884326754885,0.0390146062007749,0.0408192389132891,0.0384137685305208,0.0381831288572275,0.0382681640973334,0.039231887338531,0.03876650757876,0.0356274252342325,0.0338165817152752,0.038601348977776,0.0371563143553461,0.0379957649765153,0.0451600830208757,0.0335109507640692,0.0368390567169172,0.0375330197129375,0.034702552054786,0.0438163959730242,0.0408363930690045,0.0386844918406004,0.0408905658948669,0.0401720353646365,0.0496583672152869,0.0335982674029746,0.0396318777550269,0.0356122164095247,0.0365879352923128,0.035216181737706,0.0386062712921287,0.0353105407386696,0.0348825414830222,0.0385425109512717,0.0372215169281987,0.0431845760759164,0.0535221211548125,0.0342815876349722,0.0344839272233475,0.0310611963535204,0.031765133291771,0.0314629098059442,0.0309267433197204,0.0322446790197025,0.0305766837023398,0.0331999130665947,0.0326435859853732,0.033321748191128
"X3",0.0214692779817052,0.0236498178136455,0.0247436713511972,0.0265795432120219,0.0239889173288918,0.0236828083599917,0.025207962772428,0.0233934395287053,0.0244667757074981,0.025221096943953,0.026052015599522,0.023687734348184,0.0261806731938358,0.0232770302236281,0.0231607673783877,0.0236519600961325,0.0263672287528145,0.0243219177715029,0.0291852802890311,0.023309269949068,0.0203360877210099,0.0221328664745457,0.0233676057219445,0.0220417603468458,0.0221508618221711,0.022327056792694,0.0224064016784245,0.022411311442571,0.0202324673754522,0.0195024356613115,0.0220100218774405,0.0212202908079782,0.0216478814871496,0.0263745964804345,0.0190859854846292,0.0208414427810209,0.0212197530307728,0.0196323656812374,0.0252042590476947,0.0234590741939283,0.0220658143233773,0.0228719704846301,0.0224934480686922,0.0277827185977981,0.0190744662356833,0.0220524717816466,0.0197265501513745,0.0198519926071298,0.0191002638796944,0.0213197464341558,0.0199294917105297,0.019015234101529,0.0208576919072892,0.0203195114057168,0.0241953942436209,0.0312536950396378,0.0185117100663454,0.018543040002732,0.0166217457434759,0.0172224234056589,0.0171252338353325,0.0166142896945626,0.0171576993647481,0.0163378078290262,0.0178755441323252,0.017746281752138,0.0180254381842584
"X4",0.0159541866299981,0.0178104660367323,0.0187215357530823,0.0200867833355993,0.0181354231588974,0.0178636663142462,0.0188842930948789,0.0175367360921004,0.0183071344539227,0.0190438199608553,0.0197743945246759,0.0178135136354694,0.0197709413086998,0.0175069707376617,0.0174624261160273,0.017927467784216,0.0200821836433427,0.0184009808879178,0.0220595503327107,0.0176194751403737,0.015223676565106,0.0166703603990797,0.0176803299504985,0.0166965862497256,0.0168714236432518,0.017054123699156,0.0169332608533191,0.0170401642887993,0.015246971484099,0.0148105367763323,0.0166200120883694,0.0160366613361746,0.0163402283259704,0.0201559247445072,0.0144039190368519,0.0156761630379574,0.0159553414286136,0.0147666617615283,0.0191159082457059,0.0177805197499437,0.0166653319551613,0.0171059473781853,0.0168315484127895,0.0207809764847532,0.0143722007823445,0.0164499614005056,0.0146818762675991,0.0146231527199092,0.0140666739445747,0.0158433857030217,0.0149725134010246,0.0140395440215675,0.0153437949108886,0.0150133014700402,0.0181107993010752,0.023882885717294,0.0136032459752883,0.0135977424543298,0.0121593079815481,0.0126814893984443,0.012634574401784,0.0121775166667492,0.0125159121836442,0.0119425950229094,0.0131167237527174,0.0130848166636951,0.0132576560250845
"X5",0.0133509729477859,0.0150240268978907,0.0158368615439558,0.0169796364983405,0.0153334010376651,0.0150832058129636,0.0158796033341657,0.0147523919669571,0.0153832089909962,0.0160897143867386,0.0167594774571544,0.0150136798514994,0.0167053543797939,0.0147565222972506,0.0147407173123929,0.0151813919521365,0.0170553934902698,0.015565006602168,0.0186490533469524,0.0148961567474351,0.0127959928101021,0.0140634543632005,0.0149560829242025,0.0141337888645379,0.0143288142215786,0.0145087287293749,0.0143141026359313,0.0144570308066212,0.012866708700961,0.0125563312310991,0.0140423576698022,0.0135561261738524,0.0138027937715907,0.0171527829175993,0.0121658639736953,0.0132138639860667,0.0134464749918978,0.0124472411224734,0.0161938677642676,0.0150565972526417,0.0140822889238142,0.0143700104339175,0.0141438341720509,0.0174582517546912,0.012127450760969,0.0137972001742782,0.0122977312036635,0.0121727250653895,0.0117081150917298,0.0132584393743156,0.012611796575648,0.0117033312500051,0.0127625360105703,0.0125203991984091,0.0152217408014128,0.0203235751610106,0.0113074356488136,0.0112886807001427,0.0100797991984912,0.0105541063322288,0.0105274286356848,0.0101066884067407,0.0103578169182757,0.00989567771032347,0.0108936060429534,0.0108986119557552,0.0110259881982027
"X6",0.0118561411755339,0.0134131341838962,0.0141651909506935,0.0151800798147221,0.0137102830094349,0.0134744115293791,0.0141470857346562,0.013146373526135,0.0136982516584003,0.0143795330080827,0.0150094760168418,0.0133961880019894,0.0149305265725826,0.0131674919155988,0.0131663425123186,0.0135886165645259,0.0152955924628516,0.0139216671696812,0.0166736541580932,0.0133188040069291,0.0113967499489383,0.0125562539877259,0.0133774033868936,0.0126478042338723,0.0128504481790695,0.0130265920120799,0.0127972372828266,0.0129564021683652,0.0114901897528807,0.0112476261176635,0.0125501380185558,0.0121196096523403,0.0123341848718463,0.0154036898704625,0.0108706246614888,0.0117912592144313,0.0119972121646584,0.01110725093329,0.0144985679096673,0.0134767319372168,0.0125868275680879,0.0127938626477647,0.0125950140980406,0.0155438066073811,0.0108294145151613,0.01227091323352,0.0109276579852327,0.0107718823776718,0.0103599167440278,0.0117741157610163,0.0112487044392944,0.0103662398418912,0.0112878701588248,0.0110930672087318,0.0135566955065965,0.0182506656422936,0.00999655332552644,0.00997165506645226,0.00889512297268146,0.00933820257734815,0.0093219530437214,0.00892580701904935,0.00913012537603201,0.00873001506180143,0.00962524309205485,0.00964829170630284,0.00975111156546626
"X7",0.0108921689167691,0.0123694796748142,0.0130803577906337,0.0140126863138346,0.0126572317054762,0.0124314657683284,0.0130266014696243,0.0121074506492327,0.012608945391016,0.0132704439429168,0.0138725125428346,0.0123487465529114,0.0137794711910682,0.0121384788943283,0.0121459614570402,0.012554357612453,0.0141510751073418,0.012855300772945,0.0153921277271635,0.0122955827520242,0.0104921101808564,0.011579743656953,0.0123529441848,0.0116831201598279,0.0118888899928392,0.0120616067128764,0.0118133124218514,0.0119809276636461,0.0105981949808167,0.0103973115803212,0.0115824591246849,0.0111878789059507,0.0113819971552793,0.0142647330532284,0.0100308685844618,0.0108699981960633,0.0110587966658377,0.0102395655455461,0.013397592424924,0.0124509060251276,0.011617007629858,0.0117751887506173,0.0115937693688168,0.0143062740357452,0.00998834077556818,0.0112852721494968,0.0100437064115066,0.00987127954050492,0.00949320983730714,0.0108169578003839,0.0103663548203848,0.00950597489679263,0.0103402281128035,0.010174461389841,0.0124802904900273,0.0169009419297289,0.0091544624094197,0.009126268088449,0.00813527968969644,0.00855665248703096,0.00854665320216671,0.00816790273126941,0.0083434588884151,0.00798256261469505,0.00881098851127332,0.00884431485635378,0.0089318391931899
"X8",0.0102211794255605,0.0116405249622663,0.0123216834915734,0.0131964613727101,0.0119209039334428,0.0117026179973322,0.0122449351083243,0.0113825488267955,0.0118492206789576,0.0124951483481132,0.0130766854597595,0.0116173743356357,0.012974825390719,0.011420006434538,0.0114330842864228,0.0118307402520054,0.013349488667495,0.0121096207177594,0.0144960773235848,0.0115802570437208,0.00986123656726067,0.0108976818505074,0.0116365267231861,0.0110083175540478,0.0112153420691759,0.0113851396865467,0.011125472903393,0.0112979027096674,0.00997508960858316,0.00980216154070811,0.0109060950958052,0.0105366222102423,0.0107165972484842,0.0134662584040638,0.00944402924385921,0.0102267511840243,0.0104036271411273,0.00963381911799034,0.0126273052225705,0.0117332432008645,0.010939144454956,0.0110649588779357,0.0108955365467939,0.0134432286768627,0.00940085309505427,0.010598426860237,0.00942822449936591,0.00924581081788035,0.00889130360656252,0.0101507690727436,0.0097504756309381,0.00890823141262929,0.00968230185165313,0.00953599696338391,0.0117297129866793,0.0159548270523459,0.00856995860687873,0.00853984059388949,0.007608448319405,0.00801400197593993,0.00800817794650689,0.00764217824266867,0.0077984154379689,0.00746442002285394,0.00824617622181103,0.0082859971831696,0.00836296818300739
"X9",0.00972825719295574,0.011103567182455,0.0117622481460886,0.0125946567773502,0.0113779914894326,0.0111654535290588,0.0116696252440583,0.0108489350749257,0.0112901422932751,0.0119236105536624,0.0124894225307944,0.0110787385550414,0.0123816514962119,0.0108909297508888,0.0109078919896055,0.0112969868056917,0.0127578837882855,0.0115598577730037,0.0138354099033611,0.0110530018860684,0.00939711020512314,0.0103952827162668,0.0111082961292719,0.0105106718958316,0.0107180936273769,0.0108854186103405,0.0106184643941957,0.0107937897413231,0.00951607532052659,0.00936307941175646,0.0104075935243944,0.0100567042771705,0.0102263116796958,0.0128764207800259,0.00901159771172861,0.00975306856202802,0.00992119540895759,0.00918786932585885,0.0120592396699234,0.0112039494965644,0.0104395561853937,0.0105425345739072,0.0103818085521245,0.0128081374711562,0.00896811942056686,0.0100933375355066,0.00897600238174579,0.00878713892961467,0.00844991931663199,0.00966145613037909,0.00929707104418005,0.00846977940721334,0.00919994642457645,0.00906752240860465,0.0111776223826246,0.0152561088865102,0.00814149583381736,0.0081102196428012,0.0072225753901479,0.00761622166818293,0.00761345570010226,0.00725700041067187,0.00739941735303929,0.00708496293362071,0.00783250020574444,0.0078767560574203,0.00794578840822532
"X10",0.0093514078959933,0.0106921112229505,0.011333156115774,0.0121330629840795,0.0109615730496162,0.0107535848838404,0.0112289990846639,0.0104401845177986,0.0108619675674176,0.0114852829705909,0.0120386763817675,0.0106660284488498,0.0119267411344225,0.0104856300642,0.0105054334706633,0.0108874981753533,0.012303978646873,0.0111382956565886,0.013328670865285,0.0106488117476746,0.00904185838065285,0.0100103464733243,0.0107031985219506,0.010128976944756,0.010336379248529,0.0105015815015012,0.0102297583489368,0.0104068595937025,0.00916435211493798,0.00902621719765527,0.0100254145285934,0.00968893591022549,0.0098505903022098,0.0124234296467142,0.00868015705094191,0.00939020866319263,0.00955165111393457,0.00884640565254388,0.0116236402551354,0.0107979711882178,0.0100565782355193,0.0101426897049736,0.00998849355683246,0.01232174551289,0.00863657896229449,0.00970676567632249,0.00863025846561244,0.00843698973156322,0.00811296978122616,0.00928748289116927,0.00894983723854967,0.00813506499710269,0.00883179247145787,0.00870973300797798,0.0107551788527636,0.0147197890746578,0.00781449281147356,0.00778255124446919,0.00692825062886166,0.00731277203429798,0.00731246291586274,0.00696315949249399,0.00709520934311566,0.00679555801674507,0.00751719629941024,0.00756468146740148,0.00762721138062271
