"","LE_before","Hump","Senescent","Infant","LE_after","year"
"V1",66.2411309521405,66.0418735267783,66.7375149117671,66.3911782053031,66.6861161103428,1961
"V11",66.6861161103428,66.8391891359459,66.0778622443438,66.6714637816911,66.2140320952016,1962
"V12",66.2140320952016,66.3897880803412,65.7946736722444,66.2852513787795,66.038880506047,1963
"V13",66.038880506047,66.1182228495907,66.3210541745001,66.538995395034,66.9062690688932,1964
"V14",66.9062690688932,66.9075321783509,66.5023946102583,67.1070561663348,66.7031186893519,1965
"V15",66.7031186893519,66.47493778324,67.3002914304158,66.6915633177708,67.0567095749924,1966
"V16",67.0567095749924,67.1934578161039,66.721649524844,67.2217160661983,67.0216099357267,1967
"V17",67.0216099357267,67.1924589329592,66.7322502974505,67.1208736159592,67.0008873265583,1968
"V18",67.0008873265583,67.0014672184271,66.6476475230021,67.0031928718505,66.6505981095761,1969
"V19",66.6505981095761,66.6947386235209,67.3942800183511,66.8226052299813,67.6140376625053,1970
"V110",67.6140376625053,67.591050925799,67.4746310157585,67.7255967863264,67.5629491891107,1971
"V111",67.5629491891107,67.611866411467,67.6049160616676,67.6388674092287,67.729863993606,1972
"V112",67.729863993606,67.6805914694448,67.9171800888818,67.8018386899386,67.9398288924284,1973
"V113",67.9398288924284,67.9434375972107,68.1688573651398,67.945388117553,68.1779596060632,1974
"V114",68.1779596060632,68.2290273183741,67.9933486445248,68.391420650373,68.2571433108941,1975
"V115",68.2571433108941,68.1193471476926,68.4927156816991,68.3060343931309,68.40319875982,1976
"V116",68.40319875982,68.4263794054329,68.878385995967,68.4474091905478,68.9462251374926,1977
"V117",68.9462251374926,68.9307920030306,69.084596726093,68.9540374563733,69.0769515448269,1978
"V118",69.0769515448269,69.0637755737157,69.1411091336032,69.2597839298395,69.3111822473042,1979
"V119",69.3111822473042,69.217954228204,69.5700400437369,69.2467600253464,69.4116410392829,1980
"V120",69.4116410392829,69.5141787980493,69.455083240396,69.4887124495864,69.6349816433187,1981
"V121",69.6349816433187,69.5648045414014,69.9868850882156,69.6848212119697,69.9662214882155,1982
"V122",69.9662214882155,69.8917225800975,70.0445538551137,69.9855372398521,69.9892485786717,1983
"V123",69.9892485786717,69.9043952838039,70.4152777206232,70.0590321175102,70.3994746325618,1984
"V124",70.3994746325618,70.4133170720291,70.4566724741547,70.4254266689039,70.4965055893561,1985
"V125",70.4965055893561,70.626474864194,70.5729373005327,70.559958252696,70.7670715363359,1986
"V126",70.7670715363359,70.6778559146515,71.3751211699581,70.7747944600408,71.2917524633494,1987
"V127",71.2917524633494,71.4277693384795,71.5386004758954,71.1977668348541,71.5809159853545,1988
"V128",71.5809159853545,71.3049440469236,71.8851334526577,71.6839402882162,71.7099805066728,1989
"V129",71.7099805066728,71.6907373877285,72.1442477354767,71.5795557876792,71.9932172612422,1990
"V130",71.9932172612422,71.7982337311333,72.2365469658169,72.0925876287342,72.1395375680884,1991
"V131",72.1395375680884,72.0950422225752,72.3544168232883,72.2413667358646,72.4118864774058,1992
"V132",72.4118864774058,73.0227739533975,71.9668732501476,72.3540153982105,72.5132082455606,1993
"V133",72.5132082455606,71.6320527888509,73.6008422361608,72.7279988858516,72.9088106457524,1994
"V134",72.9088106457524,72.7002716616679,73.2844186684708,72.9368213699589,73.1018612294316,1995
"V135",73.1018612294316,74.1353498571064,72.3764090597784,73.042934230338,73.3311210091881,1996
"V136",73.3311210091881,73.3219484320638,73.7496814757535,73.3621897515824,73.7717519005198,1997
"V137",73.7717519005198,73.988584562632,73.7141183460265,73.8259267844629,73.9850929426039,1998
"V138",73.9850929426039,74.0400276782597,74.1680639057699,73.9633705211286,74.201429461143,1999
"V139",74.201429461143,74.252615859854,74.4223042778498,74.229806563002,74.5023234564675,2000
"V140",74.5023234564675,74.5066540854314,74.7407765782812,74.4541443585294,74.6966773915003,2001
"V141",74.6966773915003,74.689050956636,74.9312597623027,74.7433195199279,74.970369597509,2002
"V142",74.970369597509,75.0373285027595,74.9909556167008,74.9822474845654,75.0698375185214,2003
"V143",75.0698375185214,75.0322847391352,75.9663767491079,75.0804254237774,75.9387930392183,2004
"V144",75.9387930392183,75.9214563536688,75.9232229305083,76.0129767223579,75.980025464126,2005
"V145",75.980025464126,76.0132420245805,76.4101481831949,75.9592029140475,76.4226517860124,2006
"V146",76.4226517860124,76.3878769325442,76.6842854935697,76.4248848830682,76.6515534841884,2007
"V147",76.6515534841884,76.6392764065208,76.8533276704913,76.6637830990682,76.8532390730583,2008
"V148",76.8532390730583,76.8835269567724,76.9839305214535,76.8519155485627,77.0129766731453,2009
"V149",77.0129766731453,76.9509687958274,77.2379527303445,77.1131277326779,77.2760531212585,2010
"V150",77.2760531212585,77.3699878728575,77.6019570164343,77.2684207355002,77.6888489487387,2011
"V151",77.6888489487387,77.8174235461833,77.6749429292906,77.6387245962519,77.7532517761873,2012
"V152",77.7532517761873,77.560974505407,78.2000584315135,77.7776337637096,78.0297148441724,2013
"V153",78.0297148441724,78.195297744474,78.3527818976753,78.0479861826534,78.5385890858934,2014
"V154",78.5385890858934,78.5869159282777,78.2680751159539,78.50461819122,78.2822474438767,2015
"V155",78.2822474438767,77.9666373653023,78.8165941641283,78.3664281571459,78.5814012202459,2016
"V156",78.5814012202459,78.7871208499526,78.5747796328125,78.505418918161,78.7042230768807,2017
