"","1816","1817","1818","1819","1820","1821","1822","1823","1824","1825","1826","1827","1828","1829","1830","1831","1832","1833","1834","1835","1836","1837","1838","1839","1840","1841","1842","1843","1844","1845","1846","1847","1848","1849","1850","1851","1852","1853","1854","1855","1856","1857","1858","1859","1860","1861","1862","1863","1864","1865","1866","1867","1868","1869","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882"
"X1",0.195856402754123,0.194218320451052,0.200731424034555,0.213179737741012,0.193080011271136,0.195200716409624,0.221235990300098,0.204525689255892,0.213859995850969,0.209666191879916,0.207461916779873,0.196633410997467,0.210994779558635,0.190717623049098,0.187720613641852,0.18361193778281,0.198409284393853,0.191821743279724,0.233664678091064,0.185732346340193,0.174722055537289,0.184079127143417,0.192538385591759,0.176327694420173,0.167668248323047,0.167123770490904,0.18232501129111,0.174958612213378,0.165626843625167,0.152022881879071,0.180112220827104,0.171254909615354,0.175285541896794,0.19714772697347,0.155037555341894,0.173467805576434,0.176652234993693,0.156679519508702,0.19679116614344,0.178750530131833,0.177858397370351,0.200170246953549,0.192922073034782,0.246265565294578,0.157034538112808,0.199224552378784,0.175986304942244,0.193956130992848,0.185999405943343,0.198280628146354,0.16988377022754,0.184658565860511,0.206102073901918,0.192068652165421,0.20632242256393,0.232227667011753,0.182405100043713,0.190855780149598,0.170682836010419,0.170215024358457,0.168216040095867,0.166715548956163,0.178582697596833,0.16649835743367,0.181910198767806,0.170729948012733,0.173515398815787
"X2",0.0368384153384097,0.0389446687988971,0.0412765901561552,0.0439501183376979,0.0392113544107788,0.0398086766344149,0.0429521648773875,0.0393802336815228,0.0412111478395027,0.0423590142677011,0.0433647168711435,0.0396786124235783,0.0433918297763161,0.0389447520105847,0.0387833574278397,0.039047714822523,0.0434205873308865,0.0404662550131132,0.0481478316276862,0.0383755446126852,0.0346699779838437,0.037930606218277,0.0398329924288399,0.0372723629400945,0.0370482434964738,0.037084679566201,0.0379302937319378,0.0376546645327905,0.0345500259828173,0.0326600877067831,0.0378304195427626,0.0362165032953604,0.0368458339750054,0.0434298996080127,0.0323855715685201,0.0356165999187208,0.0363475477972516,0.0332302762243525,0.0421677589541988,0.0394066929759799,0.0376459274423807,0.0395021442809433,0.0389087447763538,0.0484695084204881,0.0330795517693613,0.0386736450610061,0.0344827319719706,0.0356350938658587,0.0341049125276655,0.0374334894261413,0.0340007807835088,0.0337917963749998,0.037472789635809,0.0354673776236701,0.0402301982059889,0.0511151677011776,0.0332576041771419,0.0336251936425495,0.0295235560831982,0.0307475850541926,0.0302940500356578,0.0300191484833596,0.031174933968894,0.0295248101867395,0.0324321900735066,0.031503182420505,0.0317284806558423
"X3",0.0211068039809498,0.02279471323058,0.0243631451755017,0.0259636204177027,0.0230481897015016,0.0234320351737564,0.0248710972241563,0.0227399017057414,0.0238036325972716,0.0248552673659776,0.0257357034833454,0.0232732172922269,0.0256125979018238,0.0229334062086376,0.0229275014831855,0.0233074094170121,0.0261661912755116,0.0240893462309241,0.02843837140954,0.0226870080778557,0.0202219430012426,0.0224036386929716,0.0235587194475167,0.0222028855831256,0.022397876897252,0.0224515804512507,0.0224750123392245,0.0225655921489376,0.0204905932883267,0.019560819984559,0.0224875013196743,0.0215771815180324,0.0219079953190387,0.0262293904019465,0.0192157320633521,0.0210118334503786,0.0214582710347944,0.0198172265504146,0.0252332166110599,0.0238055805800666,0.0224353549720114,0.0229982587196857,0.0228175945455111,0.0281940213099006,0.019682554758753,0.0223926816493903,0.0200282422703156,0.0202582985367243,0.019375483934014,0.0214743942552403,0.0198884862984954,0.0191848829402932,0.0212289272419148,0.0201970318231036,0.0233286310071409,0.0308624024670461,0.0188586547327054,0.0188503668890358,0.016449886795606,0.0173813425223657,0.0171075760801743,0.0169514392176537,0.0174232444936208,0.0165874999102425,0.018253681560962,0.0179350997065489,0.0180089053931656
"X4",0.0159765762016111,0.0174392325278838,0.0187175145129389,0.0199557659013052,0.0176705245405913,0.017977376126617,0.0189256156236001,0.0172800057677961,0.0180907944257836,0.0190394698954596,0.0198260392927782,0.0178240588486589,0.0196778085516655,0.0175986201794012,0.0176283868932681,0.0180070819454418,0.0203124898241773,0.0185862288482623,0.0218559059122642,0.0174437109649244,0.0154439440988228,0.0172180237417741,0.0181178333158844,0.017136456208758,0.0174151313935059,0.0174692148402691,0.0173004421170338,0.0174687098543751,0.0157800313389253,0.0151381268327231,0.0173377168768606,0.0166547897866501,0.01689312149136,0.0203839447354897,0.014801648374303,0.0161387535102458,0.0164875253369425,0.0153037883312928,0.019519518639196,0.0185026692030649,0.01731971678502,0.0175482018124102,0.0174735853392452,0.0215031121888981,0.0151824812393692,0.0170393040185883,0.0152638346977132,0.0152744560553217,0.0146039669380891,0.016264915187821,0.0152110304168902,0.0144555183743852,0.0159784569161373,0.0152411480669307,0.0177647722510592,0.0239812082807189,0.014201109933809,0.0141139674953036,0.0122789517062643,0.0130683484457894,0.0128559794184299,0.0127382991332564,0.0130254328900943,0.0124330940241172,0.013694262563188,0.0135325477458809,0.0135677320982584
"X5",0.0135182654711334,0.0148505830708697,0.0159792773296085,0.0170408383462332,0.0150666661097394,0.0153347344543631,0.0160643514870277,0.0146553850528616,0.0153442768589513,0.0162254530304067,0.0169533718265765,0.0151878722659322,0.0167992890832718,0.0150136027519542,0.0150565780027042,0.0154245713515458,0.0174492598670764,0.0159078443748761,0.0186623947280051,0.0148989690275596,0.0131377249284561,0.0147022070719937,0.0154767310037932,0.0146699403801068,0.0149747302495702,0.0150275978753329,0.0147867247376187,0.0149812970952868,0.0134908751282823,0.0129802611389689,0.0148327973727114,0.0142582484765306,0.0144535462499777,0.0175222004296838,0.0126561751312766,0.0137757081350448,0.0140764446503913,0.0131055227006432,0.0167327559561411,0.0159062970978446,0.0148287954935697,0.0149195513969885,0.0148884762157528,0.0182771298221621,0.0129927150206034,0.0144630394577288,0.0129681014742859,0.0128938824371278,0.0123254368520532,0.0137673689457864,0.0129507016492361,0.0121977296974685,0.0134740993726371,0.0128723168420904,0.0150856474658271,0.0206128201485871,0.0119787385825918,0.0118644781228108,0.0103029515698557,0.0110129706011808,0.0108306963762355,0.0107313704620159,0.0109393507377797,0.0104582654832439,0.0115253130632019,0.0114284204128424,0.0114477522299877
"X6",0.0120933438667224,0.0133420068764172,0.014380142001804,0.0153381686013831,0.0135476038662871,0.0137925036547689,0.0144014255800712,0.0131310564398625,0.0137490424648414,0.0145845032225969,0.0152734229061026,0.0136507778716422,0.015118222706381,0.013504839817262,0.0135540468347398,0.0139121142671525,0.0157683606333652,0.0143403046763957,0.0167970570278667,0.0134122455758674,0.0117949376195982,0.0132327205416351,0.0139335404233538,0.0132261569440983,0.0135409001335631,0.0135925424113439,0.0133172843404018,0.0135230695619512,0.012152396395239,0.0117154208181323,0.0133673302019718,0.0128553705065068,0.0130261956387951,0.0158412473462501,0.0114015698381703,0.0123958677860692,0.0126683255882068,0.0118184348013603,0.0150996524212248,0.0143811560550183,0.0133705631532222,0.0133897294983493,0.0133812538603673,0.0164000771124772,0.0117113007507369,0.0129657716380687,0.0116328249851221,0.0115167339441775,0.0110075472806088,0.0123192544481193,0.0116336770718819,0.010892058015946,0.0120266308571081,0.0115013946611123,0.0135280736505038,0.0186344618883212,0.0106939730321233,0.010567783085441,0.00916565336545857,0.0098256633017266,0.0096610699526003,0.00957235136397546,0.00973777022690906,0.00931926453212699,0.0102737769417105,0.0102107737526792,0.0102218617957907
"X7",0.0111684742642641,0.0123592236622549,0.0133368506226159,0.0142271950776497,0.012557265593734,0.01278681971495,0.0133200948465112,0.0121403224600503,0.0127121736315097,0.0135150201090907,0.0141763820521639,0.012649053062702,0.0140214835810339,0.0125209101855451,0.0125735209482816,0.0129234689679181,0.0146678053930738,0.0133161325035349,0.0155799504457695,0.0124420355992798,0.0109207026708921,0.0122739109963924,0.0129264029800437,0.0122827364327177,0.0126015939455025,0.0126522044830878,0.0123579792206393,0.0125692165131009,0.0112784463105749,0.0108881539233464,0.0124101031811068,0.0119386540152966,0.0120938040627177,0.0147402461981484,0.0105823271186381,0.0114957330410264,0.0117496566547764,0.0109772851780357,0.014031693771062,0.0133822035191034,0.0124176279469811,0.0123940297477519,0.0123990523431561,0.0151785479485868,0.0108741447556787,0.0119921731807137,0.0107640955762987,0.0106240691074628,0.0101533982911652,0.0113791329982036,0.0107757852689014,0.0100459274847783,0.0110889647449192,0.0106125263301598,0.0125150692105339,0.0173387895669759,0.00986159884308957,0.00972933470648123,0.00843103267499885,0.00905682860298064,0.00890381276025989,0.0088219597603277,0.00896122245494876,0.00858249589371074,0.009463956422199,0.00942132535955911,0.00942747716324279
"X8",0.0105215638314476,0.0116699516656657,0.012604365038501,0.0134471443898979,0.011862324204684,0.012080987531536,0.0125627274282439,0.0114466509199115,0.0119861740561673,0.0127647033574711,0.0134056383132172,0.0119463108139817,0.0132514840638361,0.0118303123821955,0.0118849730805847,0.0122283782892816,0.013893111391845,0.0125963119773287,0.0147253593182542,0.0117607344792213,0.0103078482773492,0.0116006947154969,0.012219128617401,0.0116196180467172,0.0119401410703327,0.0119899074458567,0.011684146889356,0.0118982501429237,0.0106644926350034,0.0103062789273021,0.0117374734901656,0.0112942916481124,0.0114385814787949,0.0139650321885781,0.0100067814655285,0.0108638063418734,0.0111046914948535,0.0103860184084575,0.0132806175273919,0.0126788636163829,0.0117477836599864,0.011696176470329,0.011710051871672,0.0143224933750612,0.0102858038019608,0.011310270778662,0.0101554048552398,0.0100002884480316,0.00955658892075895,0.0107214553731945,0.0101741636912622,0.00945477359123364,0.0104340435211147,0.00999128912598618,0.0118055155866813,0.0164266168891297,0.0092801839703413,0.00914451714066923,0.00791901068347768,0.00851999002899972,0.00837512031199309,0.00829805407316646,0.00841977564940428,0.00806844710080513,0.00889880340063206,0.00886959823568644,0.00887250461928714
"X9",0.0100444547780563,0.0111605500676886,0.0120625855808471,0.012870185863243,0.0113485229701473,0.0115590662275967,0.0120035719946245,0.0109346579975996,0.0114503041961525,0.0122100514772694,0.0128352719340361,0.0114268491658551,0.0126819744345982,0.011319639249242,0.0113756230939113,0.0117137132936889,0.013318988068869,0.0120634796920235,0.0140932262236594,0.0112567495276619,0.0098550961805415,0.0111027369721414,0.0116959043227661,0.0111287303672365,0.0114497928024409,0.0114988667853036,0.0111855831432911,0.011401255646157,0.0102101854656155,0.00987530465138589,0.0112396622725151,0.010817279330257,0.0109536139611748,0.0133904122518695,0.00958088728188071,0.0103964392865891,0.0106276862055685,0.00994833290940548,0.0127243830090062,0.0121575601347867,0.0112518947221082,0.0111807083116405,0.0112007930552409,0.0136901999322525,0.0098503201430851,0.0108068386829782,0.00970588895380939,0.00954057143917325,0.00911678564170237,0.0102363514741396,0.00972957875575185,0.0090191699731913,0.00995155976039634,0.00953339861872367,0.0112816933959948,0.0157505918065094,0.00885185325520234,0.00871415058910316,0.00754241334798274,0.00812459811691152,0.00798575944685143,0.0079122087057397,0.0080214267290259,0.00769006508815683,0.00848272371350014,0.00846295970718609,0.00846358506551333
"X10",0.0096784216827997,0.0107690989283952,0.0116459818614425,0.0124265674521193,0.0109535627829402,0.0111578239945468,0.0115742307039701,0.0105416134600173,0.0110389189065201,0.0117837437576474,0.012396515757724,0.0110276030353518,0.0122440704632851,0.010927036745101,0.01098391913431,0.0113176332235468,0.0128768385863098,0.0116535091990618,0.0136071227017775,0.0108691770165251,0.00950729601780168,0.0107198300596712,0.0112935183308969,0.0107510177018109,0.0110720730961304,0.0111205730979487,0.010802119852072,0.0110186562480495,0.00986072797417429,0.00954354964273775,0.0108567035221752,0.0104502357945534,0.0105804953747638,0.0129478189056389,0.00925328733284338,0.0100370835948018,0.0102609460651392,0.0096116003984485,0.0122962515695254,0.0117560903331565,0.0108703202015164,0.0107847703117284,0.0108094383408663,0.0132045296792955,0.00951526778905119,0.0104202928995638,0.00936065963399225,0.00918807659759143,0.00877958679576398,0.00986415431399901,0.00938796730159225,0.00868521336210397,0.00958173258840384,0.00918229045289581,0.0108795683565115,0.0152300243377904,0.00852355837571772,0.00838457984425727,0.00725412659904253,0.00782159852543257,0.00768739669695267,0.00761652712926602,0.00771642755905937,0.00740023814664279,0.00816396621782697,0.0081511688448121,0.00815010783028388
