variation;year;Infant;Hump;Senescent
0,1;1960;1,14134358;0,464800564;3,303293073
0,1;1961;1,111656846;0,56688169;3,333693721
0,1;1962;1,105795394;0,489071375;3,330179184
0,1;1963;1,070454216;0,400483861;3,416879558
0,1;1964;0,881803714;0,368962131;3,704181776
0,1;1965;0,816253334;0,366895447;3,707225812
0,1;1966;0,820881537;0,484317408;3,659831938
0,1;1967;0,763537038;0,416574753;3,723907523
0,1;1968;0,718892015;0,329874928;3,826601506
0,1;1969;0,724377263;0,324901029;3,836473259
0,1;1970;0,674392171;0,305769042;3,903709451
0,1;1971;0,635147716;0,313730234;3,929323372
0,1;1972;0,624879013;0,287612017;3,997480756
0,1;1973;0,607093609;0,313893625;3,915374347
0,1;1974;0,620211463;0,314995015;3,893676914
0,1;1975;0,529208268;0,289454855;3,946514054
0,1;1976;0,51402822;0,357805239;3,908251598
0,1;1977;0,510773797;0,351113878;3,94422021
0,1;1978;0,533257429;0,360500561;3,835632429
0,1;1979;0,443713854;0,366849049;3,946829421
0,1;1980;0,473081853;0,413205131;3,878246562
0,1;1981;0,444094747;0,366347322;3,884261785
0,1;1982;0,428818303;0,404389124;3,889604114
0,1;1983;0,430765124;0,443252589;3,803345272
0,1;1984;0,405833654;0,493594997;3,795740918
0,1;1985;0,38898217;0,490864157;3,753132226
0,1;1986;0,36328302;0,425596704;3,846585052
0,1;1987;0,362936748;0,480693471;3,803841389
0,1;1988;0,417440488;0,41026903;3,834839004
0,1;1989;0,368274152;0,552031503;3,764166377
0,1;1990;0,445450758;0,563972183;3,671225644
0,1;1991;0,39355896;0,660948896;3,673627718
0,1;1992;0,347345792;0,685164133;3,677947502
0,1;1993;0,387152656;0,389534035;3,887646995
0,1;1994;0,279177135;0,829873503;3,589301666
0,1;1995;0,286234033;0,92661106;3,403353344
0,1;1996;0,321233358;0,451426565;3,7587033
0,1;1997;0,30795767;0,460361854;3,697962064
0,1;1998;0,280850746;0,349893609;3,773540443
0,1;1999;0,297693386;0,31903089;3,750444883
0,1;2000;0,278805102;0,297154065;3,793108556
0,1;2001;0,31000199;0,295619863;3,775988922
0,1;2002;0,292278248;0,30116671;3,743521899
0,1;2003;0,285692324;0,269875827;3,717125652
0,1;2004;0,286502016;0,294054712;3,687524825
0,1;2005;0,249583128;0,303632561;3,670437765
0,1;2006;0,260379056;0,291228167;3,682795225
0,1;2007;0,261270686;0,309900092;3,629975101
0,1;2008;0,258199623;0,31726285;3,592377888
0,1;2009;0,257562995;0,304513213;3,627567759
0,1;2010;0,204112467;0,338790044;3,624941479
0,1;2011;0,214800694;0,292124262;3,6493901
0,1;2012;0,241357944;0,222755892;3,607523783
0,1;2013;0,226486523;0,33393571;3,53101697
0,1;2014;0,21945621;0,245223197;3,605109939
0,1;2015;0,235246918;0,218198131;3,59799973
0,1;2016;0,186646404;0,387598261;3,4629672
0,1;2017;0,23038031;0,283231598;3,499032583
0,2;1960;1,833767422;0,692577995;6,096332323
0,2;1961;1,780058218;0,849133244;6,157889765
0,2;1962;1,771356306;0,72899326;6,128728055
0,2;1963;1,716284767;0,594354455;6,289503494
0,2;1964;1,418930541;0,545721079;6,778489769
0,2;1965;1,309565818;0,542248676;6,777201815
0,2;1966;1,318680643;0,720544607;6,714927899
0,2;1967;1,225218706;0,617224881;6,812008564
0,2;1968;1,15671585;0,486831747;6,978823924
0,2;1969;1,161396785;0,480490738;7,010648983
0,2;1970;1,080124884;0,453332717;7,110014788
0,2;1971;1,016273573;0,466906717;7,148082747
0,2;1972;0,993139015;0,428764463;7,281115921
0,2;1973;0,961685333;0,468116643;7,11755341
0,2;1974;0,977281621;0,469035611;7,092892279
0,2;1975;0,836513866;0,430706917;7,177679487
0,2;1976;0,811335791;0,534468636;7,117392143
0,2;1977;0,802065448;0,523837168;7,182332447
0,2;1978;0,82717498;0,537517623;6,993450694
0,2;1979;0,693622026;0,548082693;7,180049416
0,2;1980;0,738690886;0,618620494;7,056515166
0,2;1981;0,692821247;0,546474337;7,054614172
0,2;1982;0,667627838;0,603682913;7,072586046
0,2;1983;0,666400475;0,661654678;6,911358942
0,2;1984;0,626769548;0,735755155;6,907706898
0,2;1985;0,603371557;0,729965286;6,82190149
0,2;1986;0,56364632;0,632831246;6,982717954
0,2;1987;0,563124542;0,713479703;6,908502351
