"";"x";"d";"n";"m"
"1";0;1444;355519,12;0,00406166621924582
"2";1;104;364294,31;0,000285483459788323
"3";2;63;372705,63;0,000169034205359334
"4";3;48;384319,62;0,000124896043558744
"5";4;33;392313,29;8,41164468325812e-05
"6";5;43;398236,28;0,00010797609901338
"7";6;39;406081,55;9,60398225430335e-05
"8";7;36;410211,93;8,77595149414597e-05
"9";8;34;409451,26;8,3037966472493e-05
"10";9;11;411212,67;2,67501485301997e-05
"11";10;35;412201,16;8,49099987976744e-05
"12";11;33;409507,53;8,05845987740445e-05
"13";12;32;405737,85;7,88686586671665e-05
"14";13;34;400768,88;8,48369264599587e-05
"15";14;60;404882,75;0,00014819105037199
"16";15;77;409280,93;0,000188134834427785
"17";16;103;418885,29;0,000245890706737398
"18";17;121;412290,44;0,000293482429522256
"19";18;147;397065,61;0,000370215894546999
"20";19;156;387250,67;0,000402839845312598
"21";20;219;381201,39;0,000574499479133589
"22";21;228;376503,59;0,000605571914998208
"23";22;219;362276,13;0,000604511260512803
"24";23;220;351237,85;0,000626356185701513
"25";24;208;357620,2;0,000581622626462375
"26";25;228;368558,44;0,000618626451750773
"27";26;254;371311,56;0,000684061654315314
"28";27;251;372874,47;0,000673148794552762
"29";28;280;374835,97;0,000746993411544789
"30";29;268;378021,97;0,000708953503416746
"31";30;274;382159,24;0,000716978608184379
"32";31;310;385264,38;0,000804642256312405
"33";32;359;385638,28;0,000930924181074555
"34";33;328;378201,12;0,000867263428516552
"35";34;346;390109,71;0,000886929986951619
"36";35;423;406555,54;0,00104044824970286
"37";36;459;412224,23;0,00111347166565148
"38";37;454;403212,4;0,00112595743583283
"39";38;437;388388,37;0,00112516242440524
"40";39;506;391952,72;0,00129097203356568
"41";40;557;386406,2;0,00144148825769359
"42";41;584;382286,72;0,00152764919482424
"43";42;724;405620,67;0,00178491889971978
"44";43;840;422981,86;0,0019859007665246
"45";44;880;445052,13;0,00197729645738354
"46";45;1007;445258,71;0,0022616065163554
"47";46;1146;443641,6;0,00258316623148055
"48";47;1189;430434,83;0,00276232292818869
"49";48;1302;425424,55;0,00306047218008458
"50";49;1468;421801,64;0,00348030889590662
"51";50;1582;424582,05;0,00372601715027755
"52";51;1777;431009,02;0,00412288355357389
"53";52;1955;432967,83;0,00451534701781423
"54";53;2212;430567,37;0,00513740741663726
"55";54;2215;420488,99;0,00526767656865403
"56";55;2408;410400,03;0,00586744596485531
"57";56;2759;410723,5;0,006717414513657
"58";57;2908;403852,67;0,00720064572062876
"59";58;3256;399818,95;0,00814368603589199
"60";59;3438;390174,32;0,0088114461249013
"61";60;3675;386625,7;0,00950531741681942
"62";61;4122;380746,47;0,0108261016838843
"63";62;4357;378135,92;0,0115223118713504
"64";63;4518;372077,01;0,0121426475664272
"65";64;4664;370015,5;0,0126048773632456
"66";65;5036;367258,41;0,0137124157347411
"67";66;5346;367901,65;0,0145310574171113
"68";67;5704;371136,14;0,0153690233454495
"69";68;5815;366123,41;0,0158826227473409
"70";69;6219;357206,69;0,0174100882601051
"71";70;6410;343203,78;0,0186769504694849
"72";71;5727;288501,21;0,0198508699495576
"73";72;5101;240525,63;0,021207719110849
"74";73;5404;234204,13;0,0230738885774559
"75";74;5504;218701,16;0,0251667618040983
"76";75;5458;198659,73;0,0274741136515186
"77";76;5355;174372,64;0,0307100930512952
"78";77;6309;191566,64;0,0329337091259731
"79";78;6943;183515,52;0,0378333124086726
"80";79;7227;175049,72;0,0412854130814948
"81";80;7592;166138,22;0,0456968902158697
"82";81;8269;156467,61;0,0528479983812624
"83";82;8884;147922,24;0,0600585821307195
"84";83;9291;137266,07;0,0676860640069319
"85";84;9937;126549,1;0,0785228816325047
"86";85;10115;116461,8;0,0868525130128506
"87";86;10439;104425,56;0,0999659470344234
"88";87;10409;89100,37;0,116823308365611
"89";88;9850;75147,97;0,13107473162615
"90";89;9565;62993,83;0,151840267530963
"91";90;8778;51731,17;0,169684930768046
"92";91;8089;42021,66;0,192495965176054
"93";92;7169;33177,91;0,216077504580608
"94";93;6051;25434,42;0,237905955787472
"95";94;5145;19467,05;0,264292740810755
"96";95;4427;14632,45;0,302546736875916
"97";96;3400;10440,33;0,325660204227261
"98";97;2149;6080,09;0,353448715397305
"99";98;952;2427,83;0,392119711841439
"100";99;598;1440,5;0,415133634154807
"101";100;327;786,34;0,415850649846123
"102";101;206;469,41;0,438848767601883
"103";102;254;446,83;0,568448850793367
"104";103;152;262,6;0,578827113480579
"105";104;84;135,54;0,619743249225321
"106";105;32,11;60,6;0,52986798679868
"107";106;15,96;30,61;0,52139823587063
"108";107;8,05;14,88;0,540994623655914
"109";108;4,13;6,74;0,612759643916914
"110";109;1,91;2,51;0,760956175298805
"111";110;0,83;0,55;1,50909090909091
